Dlgs,Article,Comma number,Comma content
82/2005,Art. 64-quater,1.,"Al fine di valorizzare e rafforzare l'interoperabilità tra le banche dati pubbliche attraverso la Piattaforma Digitale Nazionale Dati (PDND) di cui all'articolo 50-ter, nonché di favorire la diffusione e l'utilizzo di servizi in rete erogati da soggetti pubblici e privati, è istituito il Sistema di portafoglio digitale italiano (Sistema IT-Wallet)."
82/2005,Art. 64-quater,2.,"Il Sistema IT-Wallet è costituito da una soluzione di portafoglio digitale pubblico (IT-Wallet pubblico), resa disponibile mediante il punto di accesso telematico di cui all'articolo 64-bis, nonché da soluzioni di portafoglio digitale private (IT-Wallet privato), rese disponibili dai soggetti privati interessati, previo accreditamento da parte dell'AgID, secondo le modalità di cui al comma 3."
82/2005,Art. 64-quater,3.,"<div class=""art-comma-div-akn""><div><div class=""pointedList-first-akn""><span class=""comma-num-akn"">3. </span>Al fine di garantire la necessaria celere evoluzione del Sistema IT-Wallet, con decreto del Presidente del Consiglio dei ministri ovvero dell'Autorità politica delegata in materia di innovazione tecnologica, ove nominata, adottato su proposta dell'AgID e di concerto con il Ministro dell'economia e delle finanze e con il Ministro per la pubblica amministrazione, sentite l'Agenzia per la cybersicurezza nazionale, per i profili di competenza, e la Conferenza permanente per i rapporti tra lo Stato, le regioni e le province autonome di Trento e di Bolzano, sono approvate apposite linee guida. Le linee guida di cui al primo periodo, adottate entro sessanta giorni dalla data di entrata in vigore della presente disposizione e periodicamente aggiornate, definiscono:  </div><div class=""pointedList-rest-akn"">a) le caratteristiche tecniche e le modalità di adozione dell'IT-Wallet pubblico e delle soluzioni di IT-Wallet privato da parte di cittadini e imprese, nonché la tipologia di servizi resi disponibili dalle soluzioni IT-Wallet; </div><div class=""pointedList-rest-akn"">b) le modalità di accreditamento presso l'AgID dei soggetti privati fornitori delle soluzioni IT- Wallet privato; </div><div class=""pointedList-rest-akn"">c) i servizi resi disponibili alle pubbliche amministrazioni e ai soggetti privati accreditati, sia in qualità di erogatori di servizi, sia in qualità di erogatori di attestazioni elettroniche relative a prerogative, deleghe, caratteristiche, licenze o qualità di persone fisiche e giuridiche, per il tramite della piattaforma di cui all'articolo-50-ter; </div><div class=""pointedList-rest-akn"">d) gli standard tecnici adottati per garantire l'interoperabilità del Sistema IT-Wallet con le banche dati e i sistemi informativi della pubblica amministrazione e dei soggetti privati accreditati, inclusa la piattaforma di cui all'articolo 50-ter, anche al fine di garantire la compatibilità dell'IT-Wallet pubblico e delle soluzioni di IT-Wallet privato con precedenti sistemi di identità digitale e con i relativi sistemi di autenticazione per l'accesso in rete già predisposti; </div><div class=""pointedList-rest-akn"">e) le misure da adottare sul piano tecnico e organizzativo per assicurare livelli di affidabilità, disponibilità e sicurezza adeguati al Sistema IT-Wallet; </div><div class=""pointedList-rest-akn"">f) le modalità per la messa a disposizione del codice sorgente di tutte le componenti dell'IT- Wallet pubblico e delle soluzioni di IT-Wallet privato, ai sensi dell'articolo 69. </div></div></div>"
82/2005,Art. 64-quater,4.,"La società di cui all'<a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legge:2018-12-14;135~art8-com2"" target=""_blank"">articolo 8, comma 2, del decreto-legge 14 dicembre 2018, n. 135</a>, convertito, con modificazioni, dalla <a href=""/uri-res/N2Ls?urn:nir:stato:legge:2019-02-11;12"" target=""_blank"">legge 11 febbraio 2019, n. 12</a>, e la società di cui all'<a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1999-04-21;116~art1"" target=""_blank"">articolo 1 del decreto legislativo 21 aprile 1999, n. 116</a> provvedono, nel rispetto delle linee guida di cui al comma 3 del presente articolo, alla realizzazione e gestione della infrastruttura organizzativa e tecnologica necessaria per l'attuazione del Sistema IT-Wallet, assicurando, in particolare, la disponibilità dell'IT-Wallet pubblico e dei servizi necessari ai soggetti privati interessati a rendere disponibili soluzioni di IT-Wallet privato. Alla società di cui all'<a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1999-04-21;116~art1"" target=""_blank"">articolo 1 del decreto legislativo 21 aprile 1999, n. 116</a> , sono affidate la progettazione, la realizzazione, l'implementazione e la gestione dell'infrastruttura tecnologica dei sistemi di rilascio nonché la certificazione e la verifica delle attestazioni elettroniche di identità digitale, di quelle relative a prerogative, deleghe, caratteristiche, licenze o qualità presenti nelle banche dati della pubblica amministrazione e dei registri fiduciari per l'accreditamento dei soggetti coinvolti nei processi di rilascio, certificazione e verifica nonché per la verifica della validità e la gestione del ciclo di vita delle attestazioni elettroniche. Agli oneri occorrenti per rendere disponibili da parte degli Identity provider pubblici i servizi di verifica di cui al secondo periodo del presente comma si provvede a valere sulle risorse disponibili a legislazione vigente."
82/2005,Art. 64-quater,5.,"<div class=""art-comma-div-akn""><div><div class=""pointedList-first-akn""><span class=""comma-num-akn"">5. </span>Con decreto del Presidente del Consiglio dei ministri ovvero dell'Autorità politica delegata in materia di innovazione tecnologica, ove nominata, adottato di concerto con il Ministro dell'economia e delle finanze e con il Ministro per la pubblica amministrazione, sentito il Garante per la protezione dei dati personali per gli aspetti di competenza, sono definiti:  </div><div class=""pointedList-rest-akn"">a) i compiti e le funzioni attribuiti a ciascuna delle società di cui al comma 4; </div><div class=""pointedList-rest-akn"">b) la data a decorrere dalla quale l'IT-Wallet pubblico è reso disponibile, nonché il termine entro il quale i soggetti di cui all'articolo 2, comma 2, sono tenuti a rendere disponibili i dati e i documenti relativi a prerogative, deleghe, caratteristiche, licenze o qualità di persone fisiche e giuridiche sotto forma di attestazioni elettroniche ovvero a rendere disponibili i dati e i documenti per la generazione di attestazioni elettroniche, nonché ad avvalersi delle attestazioni elettroniche presenti nelle istanze e nelle dichiarazioni formulate nei loro confronti con esenzione dei controlli di cui al capo V del <a href=""/uri-res/N2Ls?urn:nir:presidente.repubblica:decreto:2000-12-28;445"" target=""_blank"">testo unico delle disposizioni legislative e regolamentari in materia di documentazione amministrativa</a>, di cui al <a href=""/uri-res/N2Ls?urn:nir:presidente.repubblica:decreto:2000-12-28;445"" target=""_blank"">decreto del Presidente della Repubblica 28 dicembre 2000, n. 445</a>; </div><div class=""pointedList-rest-akn"">c) la data a decorrere dalla quale i soggetti privati accreditati possono rendere disponibili soluzioni di IT-Wallet privato; </div><div class=""pointedList-rest-akn"">d) al fine di concorrere alla sostenibilità economica del Sistema IT-Wallet a regime e ferma restando la gratuità dell'emissione dell'IT-Wallet pubblico per cittadini e imprese, la tipologia di servizi che possono essere oggetto di remunerazione da parte del titolare del Wallet e dei soggetti privati accreditati in qualità di erogatori di servizi, incluse le relative indicazioni di costo. </div></div></div>"
82/2005,Art. 64-quater,6.,"Agli oneri derivanti dalla progettazione, realizzazione e graduale messa a disposizione dell'infrastruttura tecnologica per l'attuazione del Sistema IT-Wallet, di cui al comma 4, pari a complessivi 102 milioni di euro per gli anni 2024, 2025 e 2026, si provvede , quanto a 69 milioni di euro, a valere sulle risorse assegnate per l'Investimento 1.3 ""Dati e interoperabilità"" della Missione 1 ""Digitalizzazione, innovazione, competitività e cultura"", Componente 1 ""Digitalizzazione, innovazione e sicurezza nella PA"" , del PNRR e, quanto a 33 milioni di euro, a valere sul Fondo per l'innovazione tecnologica e la digitalizzazione di cui all'<a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legge:2020-05-19;34~art239"" target=""_blank"">articolo 239 del decreto-legge 19 maggio 2020, n. 34</a> , convertito, con modificazioni, dalla <a href=""/uri-res/N2Ls?urn:nir:stato:legge:2020-07-17;77"" target=""_blank"">legge 17 luglio 2020, n. 77</a>."
82/2005,Art. 64-quater,7.,"Nelle more della piena funzionalità del Sistema IT-Wallet, sono rese disponibili, a richiesta, attraverso il punto di accesso telematico di cui all'articolo 64-bis, le versioni digitali della Tessera sanitaria - Tessera europea di assicurazione di malattia (TS/TEAM), della patente di guida mobile e della Carta europea della disabilità. La verifica di validità di tali versioni digitali è consentita, anche a soggetti terzi, mediante funzionalità rese disponibili dal punto di accesso telematico. La versione digitale della TS/TEAM è disponibile secondo le modalità previste dal <a href=""http://eur-lex.europa.eu/legal-content/IT/TXT/?uri=CELEX:32018R1724"" target=""_blank"">regolamento (UE) 2018/1724 del Parlamento europeo e del Consiglio, del 2 ottobre 2018</a>, concernente lo sportello digitale unico. I dati e i documenti necessari per la generazione delle versioni digitali della patente di guida mobile e della Carta europea della disabilità sono resi disponibili, rispettivamente, dal Ministero delle infrastrutture e trasporti e dall'Istituto nazionale della previdenza sociale (INPS) alla società di cui all'<a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1999-04-21;116~art1"" target=""_blank"">articolo 1 del decreto legislativo 21 aprile 1999, n. 116</a>, per il tramite della piattaforma di cui all'articolo 50-ter del presente codice. Salvo gli utilizzi previsti della TS/TEAM in qualità di Carta Nazionale dei Servizi, la versione digitale della TS/TEAM ha lo stesso valore, per la fruizione di servizi erogati online o in presenza, del documento rilasciato dal Ministero dell'economia e delle finanze su supporto plastificato ai sensi dell'<a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legge:2003-09-30;269~art50"" target=""_blank"">articolo 50 del decreto-legge 30 settembre 2003, n. 269</a>, convertito, con modificazioni, dalla <a href=""/uri-res/N2Ls?urn:nir:stato:legge:2003-11-24;326~art11-com15"" target=""_blank"">legge 24 novembre 2003, n. 326, e dell'articolo 11, comma 15</a>, del <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legge:2010-05-31;78"" target=""_blank"">decreto-legge 31 maggio 2010, n. 78</a>, convertito, con modificazioni, dalla <a href=""/uri-res/N2Ls?urn:nir:stato:legge:2010-07-30;122"" target=""_blank"">legge 30 luglio 2010, n. 122</a> . La patente di guida mobile è la versione digitale della patente di guida di cui un conducente residente in Italia ai sensi dell'<a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1992-04-30;285~art118bis"" target=""_blank"">articolo 118-bis del </a><div class=""ins-akn"" eid=""ins_25""><a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1992-04-30;285~art118bis"" target=""_blank"">((codice della strada</a>, di cui al <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1992-04-30;285"" target=""_blank"">decreto legislativo 30 aprile 1992, n. 285</a>, è titolare. Tale patente mobile consente la verifica, tramite collegamento con l'anagrafe nazionale degli abilitati alla guida di cui all'articolo 226, comma 10, del citato codice di cui al <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1992;285"" target=""_blank"">decreto legislativo))</a></div><a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1992;285"" target=""_blank""> n. 285 del 1992</a>, dell'esistenza e della validità del diritto alla guida del suo titolare ed è equipollente a documento di identità dello stesso. Ai fini della circolazione sul territorio nazionale la patente di guida mobile soddisfa gli obblighi di cui all'articolo 180, comma 1, lettera b), del codice di cui al <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1992;285"" target=""_blank"">decreto legislativo))</a></div><a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1992;285"" target=""_blank""> n. 285 del 1992</a>."
82/2005,Art. 65,1.,"<div class=""art-comma-div-akn""><div><div class=""pointedList-first-akn""><span class=""comma-num-akn"">1. </span>Le istanze e le dichiarazioni presentate per via telematica alle pubbliche amministrazioni e ai gestori dei servizi pubblici ai sensi dell'<a href=""/uri-res/N2Ls?urn:nir:presidente.repubblica:decreto:2000-12-28;445~art38-com1"" target=""_blank"">articolo 38, commi 1</a> e <a href=""/uri-res/N2Ls?urn:nir:presidente.repubblica:decreto:2000-12-28;445~art38-com3"" target=""_blank"">3, del decreto del Presidente della Repubblica 28 dicembre 2000, n. 445</a>, sono valide:  </div><div class=""pointedList-rest-akn"">a) se sottoscritte mediante una delle forme di cui all'articolo 20; </div><div class=""pointedList-rest-akn"">b) ovvero, quando l'istante o il dichiarante è identificato attraverso il sistema pubblico di identità digitale (SPID), la carta di identità elettronica o la carta nazionale dei servizi;;  b-bis) ovvero formate tramite il punto di accesso telematico per i dispositivi mobili di cui all'articolo 64-bis; </div><div class=""pointedList-rest-akn"">c) ovvero sono sottoscritte e presentate unitamente alla copia del documento d'identità;;  c-bis) ovvero se trasmesse dall'istante o dal dichiarante dal proprio domicilio digitale iscritto in uno degli elenchi di cui all'articolo 6-bis, 6-ter o 6-quater ovvero, in assenza di un domicilio digitale iscritto, da un indirizzo elettronico eletto presso un servizio di posta elettronica certificata o un servizio elettronico di recapito certificato qualificato, come definito dal Regolamento eIDAS. In tale ultimo caso, in assenza di un domicilio digitale iscritto, la trasmissione costituisce elezione di domicilio digitale speciale, ai sensi dell'articolo 3-bis, comma 4-quinquies, per gli atti e le comunicazioni a cui è riferita l'istanza o la dichiarazione. Sono fatte salve le disposizioni normative che prevedono l'uso di specifici sistemi di trasmissione telematica nel settore tributario; </div></div></div>"
82/2005,Art. 65,1-bis.,"COMMA ABROGATO DAL <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2016-08-26;179"" target=""_blank"">D.LGS. 26 AGOSTO 2016, N. 179</a>."
82/2005,Art. 65,1-ter.,Il mancato avvio del procedimento da parte del titolare dell'ufficio competente a seguito di istanza o dichiarazione inviate ai sensi e con le modalità di cui al comma 1 comporta responsabilità dirigenziale e responsabilità disciplinare dello stesso.
82/2005,Art. 65,2.,Le istanze e le dichiarazioni di cui al comma 1 sono equivalenti alle istanze e alle dichiarazioni sottoscritte con firma autografa apposta in presenza del dipendente addetto al procedimento ;
82/2005,Art. 65,3.,"COMMA ABROGATO DAL <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2010-12-30;235"" target=""_blank"">D.LGS. 30 DICEMBRE 2010, N. 235</a>."
82/2005,Art. 65,4.,"Il <a href=""/uri-res/N2Ls?urn:nir:presidente.repubblica:decreto:2000-12-28;445~art38-com2"" target=""_blank"">comma 2 dell'articolo 38 del decreto del Presidente della Repubblica 28 dicembre 2000, n. 445</a>, è sostituito dal seguente: ""2. Le istanze e le dichiarazioni inviate per via telematica sono valide se effettuate secondo quanto previsto dall'<a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2005-03-07;82~art65"" target=""_blank"">articolo 65 del decreto legislativo 7 marzo 2005, n. 82</a>""."
82/2005,Art. 66,1.,"Le caratteristiche e le modalità per il rilascio, della carta d'identità elettronica sono definite dal <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legge:2005-01-31;7~art7tervicies-com2bis"" target=""_blank"">comma 2-bis dell'articolo 7-vicies ter del decreto-legge 31 gennaio 2005, n. 7</a>, convertito, con modificazioni, dalla <a href=""/uri-res/N2Ls?urn:nir:stato:legge:2005-03-31;43"" target=""_blank"">legge 31 marzo 2005, n. 43</a>."
82/2005,Art. 66,2.,"<div class=""art-comma-div-akn""><div><div class=""pointedList-first-akn""><span class=""comma-num-akn"">2. </span>Le caratteristiche e le modalità per il rilascio, per la diffusione e l'uso della carta nazionale dei servizi sono definite con uno o più regolamenti, ai sensi dell'<a href=""/uri-res/N2Ls?urn:nir:stato:legge:1988-08-23;400~art17-com2"" target=""_blank"">articolo 17, comma 2, della legge 23 agosto 1988, n. 400</a>, adottati su proposta congiunta dei Ministri per la funzione pubblica e per l'innovazione e le tecnologie, di concerto con il Ministro dell'economia e delle finanze, sentito il Garante per la protezione dei dati personali e d'intesa con la Conferenza unificata di cui all'<a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1997-08-28;281~art8"" target=""_blank"">articolo 8 del decreto legislativo 28 agosto 1997, n. 281</a>, nel rispetto dei seguenti principi:  </div><div class=""pointedList-rest-akn"">a) all'emissione della carta nazionale dei servizi provvedono, su richiesta del soggetto interessato, le pubbliche amministrazioni che intendono rilasciarla; </div><div class=""pointedList-rest-akn"">b) l'onere economico di produzione e rilascio delle carte nazionale dei servizi è a carico delle singole amministrazioni che le emettono; </div><div class=""pointedList-rest-akn"">c) eventuali indicazioni di carattere individuale connesse all'erogazione dei servizi al cittadino, sono possibili nei limiti di cui al <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2003-06-30;196"" target=""_blank"">decreto legislativo 30 giugno 2003, n. 196</a>; (28) </div><div class=""pointedList-rest-akn"">d) le pubbliche amministrazioni che erogano servizi in rete devono consentirne l'accesso ai titolari delle carta nazionale dei servizi indipendentemente dall'ente di emissione, che è responsabile del suo rilascio; </div><div class=""pointedList-rest-akn"">e) la carta nazionale dei servizi può essere utilizzata anche per i pagamenti informatici tra soggetti privati e pubbliche amministrazioni, secondo quanto previsto dalla normativa vigente. </div></div></div>"
82/2005,Art. 66,3.,"<div class=""art-comma-div-akn""><div><div class=""pointedList-first-akn""><span class=""comma-num-akn"">3. </span>La carta d'identità elettronica e l'analogo documento, rilasciato a seguito della denuncia di nascita e prima del compimento dell'età prevista dalla legge per il rilascio della carta d'identità elettronica, devono contenere:  </div><div class=""pointedList-rest-akn"">a) i dati identificativi della persona; </div><div class=""pointedList-rest-akn"">b) il codice fiscale. </div></div></div>"
82/2005,Art. 66,4.,"<div class=""art-comma-div-akn""><div><div class=""pointedList-first-akn""><span class=""comma-num-akn"">4. </span>La carta d'identità elettronica e l'analogo documento, rilasciato a seguito della denuncia di nascita e prima del compimento dell'età prevista dalla legge per il rilascio della carta d'identità elettronica, possono contenere, a richiesta dell'interessato ove si tratti di dati sensibili:  </div><div class=""pointedList-rest-akn"">a) l'indicazione del gruppo sanguigno; </div><div class=""pointedList-rest-akn"">b) le opzioni di carattere sanitario previste dalla legge; </div><div class=""pointedList-rest-akn"">c) i dati biometrici indicati col decreto di cui al comma 1, con esclusione, in ogni caso, del DNA; </div><div class=""pointedList-rest-akn"">d) tutti gli altri dati utili al fine di razionalizzare e semplificare l'azione amministrativa e i servizi resi al cittadino, anche per mezzo dei portali, nel rispetto della normativa in materia di riservatezza; (28) </div><div class=""pointedList-rest-akn"">e) le procedure informatiche e le informazioni che possono o debbono essere conosciute dalla pubblica amministrazione e da altri soggetti, occorrenti per la firma elettronica. </div></div></div>"
82/2005,Art. 66,5.,"La carta d'identità elettronica e la carta nazionale dei servizi possono essere utilizzate quali strumenti di autenticazione telematica per l'effettuazione di pagamenti tra soggetti privati e pubbliche amministrazioni, secondo le modalità stabilite con le Linee guida, sentiti il Ministro dell'economia e delle finanze e la Banca d'Italia."
82/2005,Art. 66,6.,"Con decreto del Ministro dell'interno, del Ministro per l'innovazione e le tecnologie e del Ministro dell'economia e delle finanze, sentito il Garante per la protezione dei dati personali e d'intesa con la Conferenza unificata di cui all'<a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1997-08-28;281~art8"" target=""_blank"">articolo 8 del decreto legislativo 28 agosto 1997, n. 281</a>, sono dettate le regole tecniche e di sicurezza relative alle tecnologie e ai materiali utilizzati per la produzione della carta di identità elettronica, del documento di identità elettronico e della carta nazionale dei servizi, nonché le modalità di impiego."
82/2005,Art. 66,7.,"Nel rispetto della disciplina generale fissata dai decreti di cui al presente articolo e delle vigenti disposizioni in materia di protezione dei dati personali, le pubbliche amministrazioni, nell'ambito dei rispettivi ordinamenti, possono sperimentare modalità di utilizzazione dei documenti di cui al presente articolo per l'erogazione di ulteriori servizi o utilità."
82/2005,Art. 66,8.,"Le tessere di riconoscimento rilasciate dalle amministrazioni dello Stato ai sensi del <a href=""/uri-res/N2Ls?urn:nir:presidente.repubblica:decreto:1967-07-28;851"" target=""_blank"">decreto del Presidente della Repubblica 28 luglio 1967, n. 851</a>, possono essere realizzate anche con modalità elettroniche, nel rispetto delle Linee guida, e contenere le funzionalità della carta nazionale dei servizi per consentire l'accesso per via telematica ai servizi erogati in rete dalle pubbliche amministrazioni."
82/2005,Art. 66,8-bis.,"COMMA ABROGATO DAL <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2016-08-26;179"" target=""_blank"">D.LGS. 26 AGOSTO 2016, N. 179</a>."
82/2005,Art. 68,1.,"<div class=""art-comma-div-akn""><div><div class=""pointedList-first-akn""><span class=""comma-num-akn"">1. </span>Le pubbliche amministrazioni acquisiscono programmi informatici o parti di essi nel rispetto dei principi di economicità e di efficienza, tutela degli investimenti, riuso e neutralità tecnologica, a seguito di una valutazione comparativa di tipo tecnico ed economico tra le seguenti soluzioni disponibili sul mercato:  </div><div class=""pointedList-rest-akn"">a) software sviluppato per conto della pubblica amministrazione; </div><div class=""pointedList-rest-akn"">b) riutilizzo di software o parti di esso sviluppati per conto della pubblica amministrazione; </div><div class=""pointedList-rest-akn"">c) software libero o a codice sorgente aperto; </div><div class=""pointedList-rest-akn"">d) software fruibile in modalità cloud computing; </div><div class=""pointedList-rest-akn"">e) software di tipo proprietario mediante ricorso a licenza d'uso; </div><div class=""pointedList-rest-akn"">f) software combinazione delle precedenti soluzioni. </div></div></div>"
82/2005,Art. 68,1-bis.,"<div class=""art-comma-div-akn""><div><div class=""pointedList-first-akn""><span class=""comma-num-akn"">1-bis. </span>A tal fine, le pubbliche amministrazioni prima di procedere all'acquisto, secondo le procedure di cui al codice di cui al <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2016;50"" target=""_blank"">decreto legislativo </a><div class=""ins-akn"" eid=""ins_1""><a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2016;50"" target=""_blank"">((n. 50 del 2016</a>, effettuano una valutazione comparativa delle diverse soluzioni disponibili sulla base dei seguenti criteri:  </div><div class=""pointedList-rest-akn"">a) costo complessivo del programma o soluzione quale costo di acquisto, di implementazione, di mantenimento e supporto; </div><div class=""pointedList-rest-akn"">b) livello di utilizzo di formati di dati e di interfacce di tipo aperto nonché di standard in grado di assicurare l'interoperabilità e la cooperazione applicativa tra i diversi sistemi informatici della pubblica amministrazione; </div><div class=""pointedList-rest-akn"">c) garanzie del fornitore in materia di livelli di sicurezza, conformità alla normativa in materia di protezione dei dati personali, livelli di servizio tenuto conto della tipologia di software acquisito. </div></div></div>"
82/2005,Art. 68,1-ter.,"Ove dalla valutazione comparativa di tipo tecnico ed economico, secondo i criteri di cui al comma 1-bis, risulti motivatamente l'impossibilità di accedere a soluzioni già disponibili all'interno della pubblica amministrazione, o a software liberi o a codici sorgente aperto, adeguati alle esigenze da soddisfare, è consentita l'acquisizione di programmi informatici di tipo proprietario mediante ricorso a licenza d'uso. La valutazione di cui al presente comma è effettuata secondo le modalità e i criteri definiti dall'AgID."
82/2005,Art. 68,2.,"COMMA ABROGATO DAL <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2016-08-26;179"" target=""_blank"">D.LGS. 26 AGOSTO 2016, N. 179</a>."
82/2005,Art. 68,2-bis.,"COMMA ABROGATO DAL <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2016-08-26;179"" target=""_blank"">D.LGS. 26 AGOSTO 2016, N. 179</a>."
82/2005,Art. 68,3.,"COMMA ABROGATO DAL <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2017-12-13;217"" target=""_blank"">D.LGS. 13 DICEMBRE 2017, N. 217</a>."
82/2005,Art. 68,4.,"COMMA ABROGATO DAL <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2016-08-26;179"" target=""_blank"">D.LGS. 26 AGOSTO 2016, N. 179</a>.  (28)"
82/2005,Art. 69,1.,"Le pubbliche amministrazioni che siano titolari di soluzioni e programmi informatici realizzati su specifiche indicazioni del committente pubblico, hanno l'obbligo di rendere disponibile il relativo codice sorgente, completo della documentazione e rilasciato in repertorio pubblico sotto licenza aperta, in uso gratuito ad altre pubbliche amministrazioni o ai soggetti giuridici che intendano adattarli alle proprie esigenze, salvo motivate ragioni di ordine e sicurezza pubblica, difesa nazionale e consultazioni elettorali."
82/2005,Art. 69,2.,"Al fine di favorire il riuso dei programmi informatici di proprietà delle pubbliche amministrazioni, ai sensi del comma 1, nei capitolati o nelle specifiche di progetto è previsto, salvo che ciò risulti eccessivamente oneroso per comprovate ragioni di carattere tecnico-economico, che l'amministrazione committente sia sempre titolare di tutti i diritti sui programmi e i servizi delle tecnologie dell'informazione e della comunicazione, appositamente sviluppati per essa."
82/2005,Art. 69,2-bis.,"Al medesimo fine di cui al comma 2, il codice sorgente, la documentazione e la relativa descrizione tecnico funzionale di tutte le soluzioni informatiche di cui al comma 1 sono pubblicati attraverso una o più piattaforme individuate dall'AgID con proprie Linee guida."
82/2005,Art. 71,1.,"L'AgID, previa consultazione pubblica da svolgersi entro il termine di trenta giorni, sentiti le amministrazioni competenti e il Garante per la protezione dei dati personali nelle materie di competenza, nonché acquisito il parere della Conferenza unificata, adotta Linee guida contenenti le regole tecniche e di indirizzo per l'attuazione del presente Codice. Le Linee guida divengono efficaci dopo la loro pubblicazione nell'apposita area del sito Internet istituzionale dell'AgID e di essa ne è data notizia nella Gazzetta Ufficiale della Repubblica italiana. Le Linee guida sono aggiornate o modificate con la procedura di cui al primo periodo."
82/2005,Art. 71,1-bis.,"COMMA ABROGATO DAL <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2010-12-30;235"" target=""_blank"">D.LGS. 30 DICEMBRE 2010, N. 235</a>."
82/2005,Art. 71,1-ter.,"Le regole tecniche di cui al presente codice sono dettate in conformità ai requisiti tecnici di accessibilità di cui all'<a href=""/uri-res/N2Ls?urn:nir:stato:legge:2004-01-09;4~art11"" target=""_blank"">articolo 11 della legge 9 gennaio 2004, n. 4</a>, alle discipline risultanti dal processo di standardizzazione tecnologica a livello internazionale ed alle normative dell'Unione europea."
82/2005,Art. 71,2.,"COMMA ABROGATO DAL <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2016-08-26;179"" target=""_blank"">D.LGS. 26 AGOSTO 2016, N. 179</a>."
82/2005,Art. 73,1.,"Nel rispetto dell'<a href=""/uri-res/N2Ls?urn:nir:stato:costituzione:1947-12-27~art117-com2-letr"" target=""_blank"">articolo 117, secondo comma, lettera r), della Costituzione</a>, e nel rispetto dell'autonomia dell'organizzazione interna delle funzioni informative delle regioni e delle autonomie locali il presente Capo definisce e disciplina il Sistema pubblico di connettività  e cooperazione (SPC), quale insieme di infrastrutture tecnologiche e di regole tecniche che assicura l'interoperabilità tra i sistemi informativi delle pubbliche amministrazioni, permette il coordinamento informativo e informatico dei dati tra le amministrazioni centrali, regionali e locali e tra queste e i sistemi dell'Unione europea ed è aperto all'adesione da parte dei gestori di servizi pubblici e dei soggetti privati."
82/2005,Art. 73,2.,"Il SPC garantisce la sicurezza e la riservatezza delle informazioni, nonché la salvaguardia e l'autonomia del patrimonio informativo di ciascun soggetto aderente."
82/2005,Art. 73,3.,"La realizzazione del SPC avviene nel rispetto dei seguenti principi:  a) sviluppo architetturale e organizzativo atto a garantire la federabilità dei sistemi;  b) economicità nell'utilizzo dei servizi di rete, di interoperabilità e di supporto alla cooperazione applicativa;  b-bis) aggiornamento continuo del sistema e aderenza alle migliori pratiche internazionali;  c) sviluppo del mercato e della concorrenza nel settore delle tecnologie dell'informazione e della comunicazione. (1)"
82/2005,Art. 73,3-bis.,"COMMA ABROGATO DAL <a href=""/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2016-08-26;179"" target=""_blank"">D.LGS. 26 AGOSTO 2016, N. 179</a>."
82/2005,Art. 73,3-ter.,"<div class=""art-comma-div-akn""><div><div class=""pointedList-first-akn""><span class=""comma-num-akn"">3-ter. </span>Il SPC è costituito da un insieme di elementi che comprendono:  </div><div class=""pointedList-rest-akn"">a) infrastrutture, architetture e interfacce tecnologiche; </div><div class=""pointedList-rest-akn"">b) linee guida e regole per la cooperazione e l'interoperabilità; </div><div class=""pointedList-rest-akn"">c) catalogo di servizi e applicazioni. </div></div></div>"
