law_source,law_text,law_number,law_year
c.p.,"  Salvo quanto è disposto nell'articolo 15, quando una circostanza aggravante comprende in sé un'altra circostanza aggravante, ovvero una circostanza attenuante comprende in sé un'altra circostanza attenuante, è valutata a carico o a favore del colpevole soltanto la circostanza aggravante o la circostanza attenuante, la quale importa, rispettivamente, il maggiore aumento o la maggiore diminuzione di pena.  Se le circostanze aggravanti o attenuanti importano lo stesso aumento o la stessa diminuzione di pena, si applica un solo aumento o una sola diminuzione di pena. ",art. 69 bis,
c.p.,"  Quando, con una sola sentenza o con un solo decreto, si deve pronunciare condanna per più reati contro la stessa persona, si applicano le disposizioni degli articoli seguenti. ",art. 71,
c.p.," Al colpevole di più delitti, ciascuno dei quali importa la pena dell'ergastolo, si applica la detta pena con l'isolamento diurno da sei mesi a tre anni.  Nel caso di concorso di un delitto che importa, la pena dell'ergastolo, con uno o più delitti che importano pene detentive temporanee per un tempo complessivo superiore a cinque anni, si applica la pena dell'ergastolo con l'isolamento diurno per un periodo di tempo da due a diciotto mesi.  L'ergastolano condannato all'isolamento diurno partecipa all'attività lavorativa. -------------AGGIORNAMENTO (5) Il D.Lgs. Luogotenenziale 10 agosto 1944, n. 224 ha disposto (con l'art. 1, commi 1 e 2) che ""Per i delitti preveduti nel Codice penale è soppressa la pena di morte.  Quando nelle disposizioni del detto Codice è comminata la pena di morte, in luogo di questa si applica la pena dell'ergastolo"". ",art. 72,
c.p.,"  Se più reati importano pene temporanee detentive della stessa specie, si applica una pena unica, per un tempo eguale alla durata complessiva delle pene che si dovrebbero infliggere per i singoli reati.  Quando concorrono più delitti, per ciascuno dei quali deve infliggersi la pena della reclusione non inferiore a ventiquattro anni, si applica l'ergastolo.139  Le pene pecuniarie della stessa specie si applicano tutte per intero. -------------AGGIORNAMENTO (139) La Corte Costituzionale con sentenza 27-28 aprile 1994, n. 168 (in G.U. 1ª s.s. 04/05/1994, n. 19) ha dichiarato ""in applicazione dell'art. 27 della legge 11 marzo 1953, n. 87:  [...]  b) l'illegittimità costituzionale dell'art. 73, secondo comma, del codice penale, nella parte in cui, in caso di concorso di più delitti commessi da minore imputabile, per ciascuno dei quali deve infliggersi la pena della reclusione non inferiore a ventiquattro anni, prevede la pena dell'ergastolo"". ",art. 73,
c.p.,"   Se più reati importano pene pecuniarie di specie diversa, queste si applicano tutte distintamente e per intero.  Nel caso che la pena pecuniaria non sia stata pagata per intero, la somma pagata, agli effetti della conversione, viene detratta dall'ammontare della multa. ",art. 75,
c.p.,"  Per determinare le pene accessorie e ogni altro effetto penale della condanna, si ha riguardo ai singoli reati per i quali è pronunciata la condanna, e alle pene principali che, se non vi fosse concorso di reati, si dovrebbero infliggere per ciascuno di essi.  Se concorrono pene accessorie della stessa specie, queste si applicano tutte per intero. ",art. 77,
c.p.,".  Nel caso di concorso di reati preveduto dall'articolo 73, la pena da applicare a norma dello stesso articolo non può essere superiore al quintuplo della più grave fra le pene concorrenti, né comunque eccedere:  1) trenta anni per la reclusione;  2) sei anni per l'arresto;  3) lire trenta milioni per la multa e sei milioni per l'ammenda; ovvero lire centoventicinque milioni per la multa e venticinque milioni per l'ammenda, se il giudice si vale della facoltà di aumento indicata nel capoverso dell'articolo 133-bis. 169a  Nel caso di concorso di reati preveduto dall'articolo 74, la durata delle pene da applicare a norma dell'articolo stesso non può superare gli anni trenta. La parte della pena eccedente tale limite è detratta in ogni caso dall'arresto. ---------------AGGIORNAMENTO (169a) Il D.Lgs. 28 agosto 2000, n. 274 ha disposto (con l'art. 58, comma 4) che ""In deroga a quanto stabilito nell'articolo 78, primo comma, numero 3), del codice penale, la pena della multa o dell'ammenda non può comunque eccedere la somma di lire quindici milioni, ovvero la somma di lire sessanta milioni se il giudice si vale della facoltà di aumento indicata nel secondo comma dell'articolo 133-bis dello stesso codice"".  Il D.Lgs. 28 agosto 2000, n. 274, come modificato dal D.L. 2 aprile 2001, n. 91, convertito con modificazioni dalla L. 3 maggio 2001, n. 163, ha disposto (con l'art. 65, comma 1) che l'entrata in vigore della modifica al numero 3), comma 1 del presente articolo è prorogata al 2 gennaio 2002. ",art. 78,
c.p.,"  La durata massima delle pene accessorie temporanee non può superare, nel complesso, i limiti seguenti:  1° dieci anni, se si tratta dell'interdizione dai pubblici uffici o dell'interdizione da una professione o da un'arte;  2° cinque anni, se si tratta della sospensione dall'esercizio di una professione o di un'arte. ",art. 79,
c.p.,"  Le disposizioni degli articoli precedenti si applicano anche nel caso in cui, dopo una sentenza o un decreto di condanna, si deve giudicare la stessa persona per un altro reato commesso anteriormente o posteriormente alla condanna medesima, ovvero quando contro la stessa persona si debbono eseguire più sentenze o più decreti di condanna. ",art. 80,
c.p.,"  Quando, per errore nell'uso dei mezzi di esecuzione del reato, o per un'altra causa, è cagionata offesa a persona diversa da quella alla quale l'offesa era diretta, il colpevole risponde come se avesse commesso il reato in danno della persona che voleva offendere, salve, per quanto riguarda le circostanze aggravanti e attenuanti, le disposizioni dell'articolo 60.  Qualora, oltre alla persona diversa, sia offesa anche quella alla quale l'offesa era diretta, il colpevole soggiace alla pena stabilita per il reato più grave, aumentata fino alla metà. ",art. 82,
c.p.,"  Quando, per errore nell'uso dei mezzi di esecuzione del reato, o per un'altra causa, è cagionata offesa a persona diversa da quella alla quale l'offesa era diretta, il colpevole risponde come se avesse commesso il reato in danno della persona che voleva offendere, salve, per quanto riguarda le circostanze aggravanti e attenuanti, le disposizioni dell'articolo 60.  Qualora, oltre alla persona diversa, sia offesa anche quella alla quale l'offesa era diretta, il colpevole soggiace alla pena stabilita per il reato più grave, aumentata fino alla metà. ",art. 83,
c.p.,"  Le disposizioni degli articoli precedenti non si applicano quando la legge considera come elementi costitutivi, o come circostanze aggravanti di un solo reato, fatti che costituirebbero, per sé stessi, reato.  Qualora la legge, nella determinazione della pena per il reato complesso, si riferisca alle pene stabilite per i singoli reati che lo costituiscono, non possono essere superati i limiti massimi indicati negli articoli 78 e 79. ",art. 84,
c.p.,"  Nessuno può essere punito per un fatto preveduto dalla legge come reato, se, al momento in cui lo ha commesso, non era imputabile.  È imputabile chi ha la capacità d'intendere e di volere. ",art. 85,
c.p.,"  Le disposizioni degli articoli precedenti non si applicano quando la legge considera come elementi costitutivi, o come circostanze aggravanti di un solo reato, fatti che costituirebbero, per sé stessi, reato.  Qualora la legge, nella determinazione della pena per il reato complesso, si riferisca alle pene stabilite per i singoli reati che lo costituiscono, non possono essere superati i limiti massimi indicati negli articoli 78 e 79. ",art. 86,
c.p.,"  La disposizione della prima parte dell'articolo 85 non si applica a chi si è messo in stato d'incapacità d'intendere o di volere al fine di commettere il reato, o di prepararsi una scusa. ",art. 87,
c.p.,"  Non è imputabile chi, nel momento in cui ha commesso il fatto, era, per infermità, in tale stato di mente da escludere la capacità d'intendere o di volere. ",art. 88,
c.p.,"  Chi, nel momento in cui ha commesso il fatto, era, per infermità, in tale stato di mente da scemare grandemente, senza escluderla, la capacità d'intendere o di volere, risponde del reato commesso; ma la pena è diminuita. ",art. 89,
c.p.,  Gli stati emotivi o passionali non escludono né diminuiscono l'imputabilità. ,art. 90,
c.p.,"  Non è imputabile chi, nel momento in cui ha commesso il fatto, non aveva la capacità d'intendere o di volere, a cagione di piena ubriachezza derivata da caso fortuito o da forza maggiore.  Se l'ubriachezza non era piena, ma era tuttavia tale da scemare grandemente, senza escluderla, la capacità d'intendere o di volere, la pena è diminuita. ",art. 91,
c.p.,"  L'ubriachezza non derivata da caso fortuito o da forza maggiore non esclude né diminuisce la imputabilità.  Se l'ubriachezza era preordinata al fine di commettere il reato, o di prepararsi una scusa, la pena è aumentata. ",art. 92,
c.p.,  Le disposizioni dei due articoli precedenti si applicano anche quando il fatto è stato commesso sotto l'azione di sostanze stupefacenti. ,art. 93,
c.p.,"  Quando il reato è commesso in stato di ubriachezza, e questa è abituale, la pena è aumentata.  Agli effetti della legge penale, è considerato ubriaco abituale chi è dedito all'uso di bevande alcooliche e in stato frequente di ubriachezza.  L'aggravamento di pena stabilito nella prima parte di questo articolo si applica anche quando il reato è commesso sotto l'azione di sostanze stupefacenti da chi è dedito all'uso di tali sostanze. ",art. 94,
c.p.,"  Per i fatti commessi in stato di cronica intossicazione prodotta da alcool ovvero da sostanze stupefacenti, si applicano le disposizioni contenute negli articoli 88 e 89. ",art. 95,
c.p.,"  Non è imputabile chi, nel momento in cui ha commesso il fatto, non aveva compiuto i quattordici anni. ",art. 97,
c.p.,"  Non è imputabile chi, nel momento in cui ha commesso il fatto, non aveva compiuto i quattordici anni. ",art. 98,
c.p.,".  Chi, dopo essere stato condannato per un delitto non colposo, ne commette un altro, può essere sottoposto ad un aumento di un terzo della pena da infliggere per il nuovo delitto non colposo.  La pena può essere aumentata fino alla metà:  1) se il nuovo delitto non colposo è della stessa indole;  2) se il nuovo delitto non colposo è stato commesso nei cinque anni dalla condanna precedente;  3) se il nuovo delitto non colposo è stato commesso durante o dopo l'esecuzione della pena, ovvero durante il tempo in cui il condannato si sottrae volontariamente all'esecuzione della pena.  Qualora concorrano più circostanze fra quelle indicate al secondo comma, l'aumento di pena è della metà.  Se il recidivo commette un altro delitto non colposo, l'aumento della pena, nel caso di cui al primo comma, è della metà e, nei casi previsti dal secondo comma, è di due terzi.  Se si tratta di uno dei delitti indicati all'articolo 407, comma 2, lettera a), del codice di procedura penale, l'aumento della pena per la recidiva è obbligatorio e, nei casi indicati al secondo comma, non può essere inferiore ad un terzo della pena da infliggere per il nuovo delitto. 261  In nessun caso l'aumento di pena per effetto della recidiva può superare il cumulo delle pene risultante dalle condanne precedenti alla commissione del nuovo delitto non colposo. ---------------AGGIORNAMENTO (15) Il D.P.R. 27 dicembre 1948, n. 1464 ha disposto (con l'art. 3, comma 1) che ""L'amnistia si applica anche ai recidivi nei casi preveduti dai capoversi dell'art. 99 del Codice penale e ai delinquenti abituali o professionali o per tendenza"". ---------------AGGIORNAMENTO (261) La Corte Costituzionale, con sentenza 8 - 23 luglio 2015, n. 185 (in G.U. 1ª s.s. 29/7/2015, n. 30), ha dichiarato ""l'illegittimità costituzionale dell'art. 99, quinto comma, del codice penale, come sostituito dall'art. 4 della legge 5 dicembre 2005, n. 251 (Modifiche al codice penale e alla legge 26 luglio 1975, n. 354, in materia di attenuanti generiche, di recidiva, di giudizio di comparazione delle circostanze di reato per i recidivi, di usura e di prescrizione), limitatamente alle parole «è obbligatorio e,»"". ",art. 99,
c.p.," Art. 100. ((ARTICOLO ABROGATO DAL D.L. 11 APRILE 1974, N. 99, CONVERTITO CON MODIFICAZIONI DALLA L. 7 GIUGNO 1974, N. 220",art. 100,
c.p.,".  Chi, dopo essere stato condannato per un delitto non colposo, ne commette un altro, può essere sottoposto ad un aumento di un terzo della pena da infliggere per il nuovo delitto non colposo.  La pena può essere aumentata fino alla metà:  1) se il nuovo delitto non colposo è della stessa indole;  2) se il nuovo delitto non colposo è stato commesso nei cinque anni dalla condanna precedente;  3) se il nuovo delitto non colposo è stato commesso durante o dopo l'esecuzione della pena, ovvero durante il tempo in cui il condannato si sottrae volontariamente all'esecuzione della pena.  Qualora concorrano più circostanze fra quelle indicate al secondo comma, l'aumento di pena è della metà.  Se il recidivo commette un altro delitto non colposo, l'aumento della pena, nel caso di cui al primo comma, è della metà e, nei casi previsti dal secondo comma, è di due terzi.  Se si tratta di uno dei delitti indicati all'articolo 407, comma 2, lettera a), del codice di procedura penale, l'aumento della pena per la recidiva è obbligatorio e, nei casi indicati al secondo comma, non può essere inferiore ad un terzo della pena da infliggere per il nuovo delitto. 261  In nessun caso l'aumento di pena per effetto della recidiva può superare il cumulo delle pene risultante dalle condanne precedenti alla commissione del nuovo delitto non colposo. ---------------AGGIORNAMENTO (15) Il D.P.R. 27 dicembre 1948, n. 1464 ha disposto (con l'art. 3, comma 1) che ""L'amnistia si applica anche ai recidivi nei casi preveduti dai capoversi dell'art. 99 del Codice penale e ai delinquenti abituali o professionali o per tendenza"". ---------------AGGIORNAMENTO (261) La Corte Costituzionale, con sentenza 8 - 23 luglio 2015, n. 185 (in G.U. 1ª s.s. 29/7/2015, n. 30), ha dichiarato ""l'illegittimità costituzionale dell'art. 99, quinto comma, del codice penale, come sostituito dall'art. 4 della legge 5 dicembre 2005, n. 251 (Modifiche al codice penale e alla legge 26 luglio 1975, n. 354, in materia di attenuanti generiche, di recidiva, di giudizio di comparazione delle circostanze di reato per i recidivi, di usura e di prescrizione), limitatamente alle parole «è obbligatorio e,»"". ",art. 101,
c.p.,"  È dichiarato delinquente abituale chi, dopo essere stato condannato alla reclusione in misura superiore complessivamente a cinque anni per tre delitti non colposi, della stessa indole, commessi entro dieci anni, e non contestualmente, riporta un'altra condanna per un delitto, non colposo, della stessa indole, e commesso entro i dieci anni successivi all'ultimo dei delitti precedenti.  Nei dieci anni indicati nella disposizione precedente non si computa il tempo in cui il condannato ha scontato pene detentive o è stato sottoposto a misure di sicurezza detentive. ",art. 102,
c.p.,"  Agli effetti della legge penale, sono considerati reati della stessa indole non soltanto quelli che violano una stessa disposizione di legge, ma anche quelli che, pure essendo preveduti da disposizioni diverse di questo codice ovvero da leggi diverse, nondimeno, per la natura dei fatti che li costituiscono o dei motivi che li determinarono, presentano, nei casi concreti, caratteri fondamentali comuni. ",art. 103,
c.p.,"  Chi, dopo essere stato condannato alla pena dell'arresto per tre contravvenzioni della stessa indole, riporta condanna per un'altra contravvenzione, anche della stessa indole, è dichiarato contravventore abituale, se il giudice, tenuto conto della specie e gravità dei reati, del tempo entro il quale sono stati commessi, della condotta e del genere di vita del colpevole e delle altre circostanze indicate nel capoverso dell'articolo 133, ritiene che il colpevole sia dedito al reato. ",art. 104,
c.p.,"  Chi, trovandosi nelle condizioni richieste per la dichiarazione di abitualità, riporta condanna per un altro reato, è dichiarato delinquente o contravventore professionale, qualora, avuto riguardo alla natura dei reati, alla condotta e al genere di vita del colpevole e alle altre circostanze indicate nel capoverso dell'articolo 133, debba ritenersi che egli viva abitualmente, anche in parte soltanto, dei proventi del reato. ",art. 105,
c.p.,"  Chi, dopo essere stato condannato alla pena dell'arresto per tre contravvenzioni della stessa indole, riporta condanna per un'altra contravvenzione, anche della stessa indole, è dichiarato contravventore abituale, se il giudice, tenuto conto della specie e gravità dei reati, del tempo entro il quale sono stati commessi, della condotta e del genere di vita del colpevole e delle altre circostanze indicate nel capoverso dell'articolo 133, ritiene che il colpevole sia dedito al reato. ",art. 106,
c.p.,"  Le disposizioni relative alla dichiarazione di abitualità o di professionalità nel reato si applicano anche se, per i vari reati, è pronunciata condanna con una sola sentenza. ",art. 107,
c.p.,"  È dichiarato delinquente per tendenza chi, sebbene non recidivo o delinquente abituale o professionale, commette un delitto non colposo, contro la vita o l'incolumità individuale, anche non preveduto dal capo primo del titolo dodicesimo del libro secondo di questo codice, il quale, per sé e unitamente alle circostanze indicate nel capoverso dell'articolo 133, riveli una speciale inclinazione al delitto, che trovi sua causa nell'indole particolarmente malvagia del colpevole.  La disposizione di questo articolo non si applica se la inclinazione al delitto è originata dall'infermità preveduta dagli articoli 88 e 89. ",art. 108,
c.p.,"  Oltre gli aumenti di pena stabiliti per la recidiva e i particolari effetti indicati da altre disposizioni di legge, la dichiarazione di abitualità o di professionalità nel reato o di tendenza a delinquere importa l'applicazione di misure di sicurezza.  La dichiarazione di abitualità o di professionalità nel reato può essere pronunciata in ogni tempo, anche dopo la esecuzione della pena; ma se è pronunciata dopo la sentenza di condanna, non si tien conto della successiva condotta del colpevole e rimane ferma la pena inflitta.  La dichiarazione di tendenza a delinquere non può essere pronunciata che con la sentenza di condanna.  La dichiarazione di abitualità e professionalità nel reato e quella di tendenza a delinquere si estinguono per effetto della riabilitazione. ",art. 109,
c.p.,"  Quando più persone concorrono nel medesimo reato, ciascuna di esse soggiace alla pena per questo stabilita, salve le disposizioni degli articoli seguenti. ",art. 110,
c.p.,"   Chi ha determinato a commettere un reato una persona non imputabile, ovvero non punibile a cagione di una condizione o qualità personale, risponde del reato da questa commesso; e la pena è aumentata. Se si tratta di delitti per i quali è previsto l'arresto in flagranza, la pena è aumentata da un terzo alla metà.  Se chi ha determinato altri a commettere il reato ne è il genitore esercente la responsabilità genitoriale, la pena è aumentata fino alla metà o, se si tratta di delitti per i quali è previsto l'arresto in flagranza, da un terzo a due terzi.(128) ---------------AGGIORNAMENTO (128) Il D.L. 31 dicembre 1991, n. 419 convertito con modificazioni dalla L. 18 febbraio 1992, n. 172 ha disposto (con l'art. 16, comma 1) che la presente modifica ha effetto dal 31 dicembre 1991. ",art. 111,
c.p.,"  Quando più persone concorrono nel medesimo reato, ciascuna di esse soggiace alla pena per questo stabilita, salve le disposizioni degli articoli seguenti. ",art. 112,
c.p.,"  Nel delitto colposo, quando l'evento è stato cagionato dalla cooperazione di più persone, ciascuna di queste soggiace alle pene stabilite per il delitto stesso.  La pena è aumentata per chi ha determinato altri a cooperare nel delitto, quando concorrono le condizioni stabilite nell'articolo 111 e nei numeri 3° e 4° dell'articolo 112. ",art. 113,
c.p.,"  Salvo che la legge disponga altrimenti, qualora due o più persone si accordino allo scopo di commettere un reato, e questo non sia commesso, nessuna di esse è punibile per il solo fatto dell'accordo.  Nondimeno, nel caso di accordo per commettere un delitto, il giudice può applicare una misura di sicurezza.  Le stesse disposizioni si applicano nel caso di istigazione a commettere un reato, se la istigazione è stata accolta, ma il reato non è stato commesso.  Qualora la istigazione non sia stata accolta, e si sia trattato d'istigazione a un delitto, l'istigatore può essere sottoposto a misura di sicurezza. ",art. 115,
c.p.,"  Qualora il reato commesso sia diverso da quello voluto da taluno dei concorrenti, anche questi ne risponde, se l'evento è conseguenza della sua azione od omissione.  Se il reato commesso è più grave di quello voluto, la pena è diminuita riguardo a chi volle il reato meno grave. ",art. 116,
c.p.,"  Se, per le condizioni o le qualità personali del colpevole, o per i rapporti fra il colpevole e l'offeso, muta il titolo del reato per taluno di coloro che vi sono concorsi, anche gli altri rispondono dello stesso reato. Nondimeno, se questo è più grave, il giudice può, rispetto a coloro per i quali non sussistono le condizioni, le qualità o i rapporti predetti, diminuire la pena. (114) 115-------------AGGIORNAMENTO (114) La Corte Costituzionale, con sentenza 17 - 25 maggio 1989, n. 282 (in G.U. 1ª s.s. 31/05/1989, n. 22), ha dichiarato ""l'illegittimità costituzionale dell'art. 117, primo comma nella parte in cui, nel caso di revoca della liberazione condizionale, non consente al Tribunale di sorveglianza di determinare la pena detentiva ancora da espiare, tenendo conto del tempo trascorso in libertà condizionale nonché delle restrizioni di libertà subite dal condannato e del suo comportamento durante tale periodo"". -------------AGGIORNAMENTO (115) La Corte Costituzionale, con sentenza 17 - 25 maggio 1989, n. 282 (in G.U. 1ª s.s. 31/05/1989, n. 22) come modificata dall'Errata Corrige in G.U. 1ª s.s. 14/06/1989, n. 24, non prevede più l'illegittimità costituzionale del presente articolo. ",art. 117,
c.p.,". Le circostanze che aggravano o diminuiscono le pene concernenti i motivi a delinquere, l'intensità del dolo, il grado della colpa e le circostanze inerenti alla persona del colpevole sono valutate soltanto riguardo alla persona cui si riferiscono. ",art. 118,
c.p.,  Le circostanze soggettive le quali escludono la pena per taluno di coloro che sono concorsi nel reato hanno effetto soltanto riguardo alla persona a cui si riferiscono.  Le circostanze oggettive che escludono la pena hanno effetto per tutti coloro che sono concorsi nel reato. ,art. 119,
c.p.,"  Ogni persona offesa da un reato per cui non debba procedersi d'ufficio o dietro richiesta o istanza ha diritto di querela.  Per i minori degli anni quattordici e per gli interdetti a cagione d'infermità di mente, il diritto di querela è esercitato dal genitore o dal tutore.  I minori che hanno compiuto gli anni quattordici e gli inabilitati possono esercitare il diritto di querela, e possono altresì, in loro vece, esercitarlo il genitore ovvero il tutore o il curatore, nonostante ogni contraria dichiarazione di volontà, espressa o tacita, del minore o dell'inabilitato. ",art. 120,
c.p.,"  Se la persona offesa è minore degli anni quattordici o inferma di mente, e non v'è chi ne abbia la rappresentanza, ovvero chi l'esercita si trovi con la persona medesima in conflitto di interessi, il diritto di querela è esercitato da un curatore speciale. ",art. 121,
c.p.,  Il reato commesso in danno di più persone è punibile anche se la querela è proposta da una soltanto di esse. ,art. 122,
c.p.,"  Salvo che la legge disponga altrimenti, il diritto di querela non può essere esercitato, decorsi tre mesi dal giorno della notizia del fatto che costituisce il reato.  Il diritto di querela non può essere esercitato se vi è stata rinuncia espressa o tacita da parte di colui al quale ne spetta l'esercizio.  Vi è rinuncia tacita, quando chi ha facoltà di proporre querela ha compiuto fatti incompatibili con la volontà di querelarsi.  La rinuncia si estende di diritto a tutti coloro che hanno commesso il reato.  (4) 302---------------AGGIORNAMENTO (4) Il Regio D.L. 13 marzo 1944, n. 75 ha disposto (con l'art. 1, comma 1) che ""È sospeso a decorrere dal 25 luglio 1943 il termine previsto dall'art. 124 C.P. per l'esercizio del diritto di querela per i reati commessi col mezzo della stampa, a favore di chiunque provi di non averlo potuto osservare per cause dipendenti dall'attuale stato di guerra o di non essere venuto per le stesse cause a conoscenza del fatto per il quale intende procedere"". ------------AGGIORNAMENTO (302) Il D.L. 17 marzo 2020, n. 18, convertito con modificazioni dalla L. 24 aprile 2020, n. 27, come modificato dal D.L. 19 maggio 2020, n. 34 ha disposto (con l'art. 83, comma 2) che ""Per il periodo compreso tra il 9 marzo 2020 e l'11 maggio 2020 si considera sospeso il decorso del termine di cui all'articolo 124 del codice penale"". ",art. 124,
c.p.,"  Salvo che la legge disponga altrimenti, il diritto di querela non può essere esercitato, decorsi tre mesi dal giorno della notizia del fatto che costituisce il reato.  Il diritto di querela non può essere esercitato se vi è stata rinuncia espressa o tacita da parte di colui al quale ne spetta l'esercizio.  Vi è rinuncia tacita, quando chi ha facoltà di proporre querela ha compiuto fatti incompatibili con la volontà di querelarsi.  La rinuncia si estende di diritto a tutti coloro che hanno commesso il reato.  (4) 302---------------AGGIORNAMENTO (4) Il Regio D.L. 13 marzo 1944, n. 75 ha disposto (con l'art. 1, comma 1) che ""È sospeso a decorrere dal 25 luglio 1943 il termine previsto dall'art. 124 C.P. per l'esercizio del diritto di querela per i reati commessi col mezzo della stampa, a favore di chiunque provi di non averlo potuto osservare per cause dipendenti dall'attuale stato di guerra o di non essere venuto per le stesse cause a conoscenza del fatto per il quale intende procedere"". ------------AGGIORNAMENTO (302) Il D.L. 17 marzo 2020, n. 18, convertito con modificazioni dalla L. 24 aprile 2020, n. 27, come modificato dal D.L. 19 maggio 2020, n. 34 ha disposto (con l'art. 83, comma 2) che ""Per il periodo compreso tra il 9 marzo 2020 e l'11 maggio 2020 si considera sospeso il decorso del termine di cui all'articolo 124 del codice penale"". ",art. 125,
c.p.,"  Il diritto di querela si estingue con la morte della persona offesa.  Se la querela è stata già proposta, la morte della persona offesa non estingue il reato. ",art. 126,
c.p.,". Salvo quanto è disposto nel titolo primo del libro secondo di questo Codice, qualora un delitto punibile a querela della persona offesa sia commesso in danno dei Presidente della Repubblica, alla querela è sostituita la richiesta dal Ministro per la giustizia. ",art. 127,
c.p.,"  Quando la punibilità di un reato dipende dalla richiesta dell'Autorità, la richiesta non può essere più proposta, decorsi tre mesi dal giorno in cui l'Autorità ha avuto notizia del fatto che costituisce il reato.  Quando la punibilità di un reato commesso all'estero dipende dalla presenza del colpevole nel territorio dello Stato, la richiesta non può essere più proposta, decorsi tre anni dal giorno in cui il colpevole si trova nel territorio dello Stato. ",art. 128,
c.p.,  La richiesta dell'Autorità è irrevocabile.  Le disposizioni degli articoli 122 e 123 si applicano anche alla richiesta. ,art. 129,
c.p.,"  Quando la punibilità del reato dipende dall'istanza della persona offesa, l'istanza è regolata dalle disposizioni relative alla richiesta. Nondimeno, per quanto riguarda la capacità e la rappresentanza della persona offesa, si applicano le disposizioni relative alla querela. ",art. 130,
c.p.,"  Nei casi preveduti dall'articolo 84, per il reato complesso si procede sempre di ufficio, se per taluno dei reati, che ne sono elementi costitutivi o circostanze aggravanti, si deve procedere di ufficio. ",art. 131,
c.p.,".  Nei reati per i quali è prevista la pena detentiva non superiore nel minimo a due anni, ovvero la pena pecuniaria, sola o congiunta alla predetta pena, la punibilità è esclusa quando, per le modalità della condotta e per l'esiguità del danno o del pericolo, valutate ai sensi dell'articolo 133, primo comma, anche in considerazione della condotta susseguente al reato, l'offesa è di particolare tenuità e il comportamento risulta non abituale.  L'offesa non può essere ritenuta di particolare tenuità, ai sensi del primo comma, quando l'autore ha agito per motivi abietti o futili, o con crudeltà, anche in danno di animali, o ha adoperato sevizie o, ancora, ha profittato delle condizioni di minorata difesa della vittima, anche in riferimento all'età della stessa ovvero quando la condotta ha cagionato o da essa sono derivate, quali conseguenze non volute, la morte o le lesioni gravissime di una persona. PERIODO SOPPRESSO DAL D.LGS. 10 OTTOBRE 2022, N. 150.  L'offesa non può altresì essere ritenuta di particolare tenuità quando si procede:  1) per delitti, puniti con una pena superiore nel massimo a due anni e sei mesi di reclusione, commessi in occasione o a causa di manifestazioni sportive;  2) per i delitti previsti dagli articoli 336, 337 e 341-bis, quando il fatto è commesso nei confronti di un ufficiale o agente di pubblica sicurezza o di un ufficiale o agente di polizia giudiziaria nell'esercizio delle proprie funzioni, nonché per il delitto previsto dall'articolo 343;  3) per i delitti, consumati o tentati, previsti dagli articoli 314, primo comma, 317, 318, 319, 319-bis, 319-ter, 319-quater, primo comma, 320, 321, 322, 322-bis, 391-bis, 423, 423-bis, 558-bis, 582, nelle ipotesi aggravate ai sensi degli articoli 576, primo comma, numeri 2, 5 e 5.1, e 577, primo comma, numero 1, e secondo comma, 583, secondo comma, 583-bis, 593-ter, 600-bis, 600-ter, primo comma, 609-bis, 609-quater, 609-quinquies, 609-undecies, 612- bis, 612-ter, 613-bis, 628, terzo comma, 629, 644, 648-bis, 648-ter;  4) per i delitti, consumati o tentati, previsti dall'articolo 19, quinto comma, della legge 22 maggio 1978, n. 194, dall'articolo 73 del decreto del Presidente della Repubblica 9 ottobre 1990, n. 309, salvo che per i delitti di cui al comma 5 del medesimo articolo, e dagli articoli 184 e 185 del decreto legislativo 24 febbraio 1998, n. 58; 4-bis) per i delitti previsti dalla sezione II del capo III del titolo III della legge 22 aprile 1941 n. 633, salvo che per i delitti di cui all'articolo 171 della medesima legge.  Il comportamento è abituale nel caso in cui l'autore sia stato dichiarato delinquente abituale, professionale o per tendenza ovvero abbia commesso più reati della stessa indole, anche se ciascun fatto, isolatamente considerato, sia di particolare tenuità, nonché nel caso in cui si tratti di reati che abbiano ad oggetto condotte plurime, abituali e reiterate.  Ai fini della determinazione della pena detentiva prevista nel primo comma non si tiene conto delle circostanze, ad eccezione di quelle per le quali la legge stabilisce una pena di specie diversa da quella ordinaria del reato e di quelle ad effetto speciale. In quest'ultimo caso ai fini dell'applicazione del primo comma non si tiene conto del giudizio di bilanciamento delle circostanze di cui all'articolo 69.  La disposizione del primo comma si applica anche quando la legge prevede la particolare tenuità del danno o del pericolo come circostanza attenuante.  (306) ---------------AGGIORNAMENTO (306) La Corte Costituzionale con sentenza 25 giugno - 21 luglio 2020, n. 156 (in G.U. 1ª s.s. 22/07/2020, n. 30), ha dichiarato ""l'illegittimità costituzionale dell'art. 131-bis del codice penale, inserito dall'art. 1, comma 2, del decreto legislativo 16 marzo 2015, n. 28, recante «Disposizioni in materia di non punibilità per particolare tenuità del fatto, a norma dell'articolo 1, comma 1, lettera m), della legge 28 aprile 2014, n. 67», nellaparte in cui non consente l'applicazione della causa di non punibilità per particolare tenuità del fatto ai reati per i quali non è previsto un minimo edittale di pena detentiva"". ",art. 131 bis,
c.p.,"  Nei limiti fissati dalla legge, il giudice applica la pena discrezionalmente; esso deve indicare i motivi che giustificano l'uso di tal potere discrezionale.  Nell'aumento o nella diminuzione della pena non si possono oltrepassare i limiti stabiliti per ciascuna specie di pena, salvi i casi espressamente determinati dalla legge. ",art. 132,
