Domanda,Risposta 1,Risposta 2,Risposta 3
La Commissione per l'accesso ai documenti amministrativi è istituita presso (art. 27  legge n. 241/1990): ,"La Presidenza del Consiglio dei ministri. B) La Presidenza della Repubblica.  C) L'ufficio del Garante di cui al D.Lgs. n. 196/2003.  481. A norma del disposto di cui al comma 1, art. 2 D.Lgs. n. 165/2001 la definizione delle  linee fondamentali di organizzazione  degli uffici e la determinazione delle dotazioni organiche complessive sono demandate:  A ciascuna p.a., sulla base dei principi generali fissati dalla legge. ","A ciascuna p.a., in completa autonomia. ","Agli organi di gestione di ciascuna p.a., in completa autonomia. "
"Con riferimento alla classificazione dell'attività amministrativa, l'amministrazione  consultiva: ","Comprende le attività dirette a fornire pareri, orientamenti e chiarimenti alle autorità  che devono provvedere su un determinato  oggetto. ",Comprende le attività di mera verifica sull'esistenza o meno di determinati presupposti. ,"Comprende le attività dirette a sindacare, secondo diritto o secondo le regole della "
"Il Capo II della l. n. 241/1990 è riservato alla regolazione della figura del  responsabile del procedimento, ovvero del soggetto  al quale è affidato il delicato ruolo di autorità di guida di ciascun procedimento  amministrativo. Esso: ","Valuta, ai fini istruttori, le condizioni di ammissibilità, i requisiti di legittimazione  ed i presupposti che siano rilevanti per  l'emanazione di un provvedimento. ",Non è mai competente alla valutazione della sussistenza dell'obbligo di provvedere. ,É solo competente all'indizione delle conferenze di servizi e a decidere avverso i 
L'eseguibilità del provvedimento amministrativo: ,Rappresenta la possibilità legale e giuridica che gli effetti del provvedimento possono  prodursi. ,"Rappresenta l'idoneità del provvedimento a produrre effetti giuridici una volta divenuto  efficace, indipendentemente dalla sua validità  o invalidità. ","Consiste nel potere, in capo all'amministrazione, di attuare coattivamente la "
Dispone l'art. 52 del D.Lgs. n. 165/2001 (Disciplina delle mansioni) che l'esercizio di  fatto di mansioni non corrispondenti  alla qualifica di appartenenza: ,Non ha effetto ai fini dell'inquadramento del lavoratore o dell'assegnazione di incarichi  di direzione. ,"Non dà diritto alla corresponsione della differenza di trattamento economico, ma ha  comunque effetto ai fini dell'inquadramento del  lavoratore o dell'assegnazione di incarichi di direzione. ","Non ha effetto ai fini dell'inquadramento del lavoratore, ma ha effetto ai fini "
Ai sensi dell'art. 25 C.p.a. nei procedimenti davanti al TAR dove si intende  domiciliata la parte che non elegge domicilio nel  comune sede del tribunale amministrativo regionale o della sezione staccata dove pende il  ricorso? ,"Ad ogni effetto, presso la segreteria del tribunale amministrativo regionale o della  sezione staccata. ","Ad ogni effetto, presso il luogo di residenza. ","Ad ogni effetto, presso la segreteria del Consiglio di Stato. "
"I sottosegretari di Stato sono nominati (art. 10, L. 400/1988): ","Con decreto del Presidente della Repubblica, su proposta del Presidente del Consiglio dei  ministri, di concerto con il Ministro che il  sottosegretario è chiamato a coadiuvare, sentito il Consiglio dei ministri. ","Con decreto del Presidente del Consiglio dei ministri, su proposta del Ministro che il  sottosegretario è chiamato a coadiuvare. ",Con decreto del Ministro che il sottosegretario è chiamato a coadiuvare. 
Le norme in materia di procedimento amministrativo stabiliscono che l'attività amministrativa persegue i fini determinati  dalla legge e che sia retta dai principi elencati all'art. 1 della l. n. 241/1990. I  soggetti privati sono tenuti al rispetto di tali  principi? ,"Sì, se preposti all'esercizio di attività amministrative. ","No, in alcun caso. ","Sì, qualunque sia l'attività svolta. "
"L'art. 2 della l. n. 241/1990, fissa il principio di certezza della conclusione del  procedimento stabilendo in particolare al  comma 7 che i termini di conclusione, nel caso di acquisizione di informazioni o  certificazioni relative a fatti, stati o qualità  non attestati in documenti già in possesso dell'amministrazione stessa o non direttamente  acquisibili presso altre P.A.,  possono essere sospesi: ",Per una sola volta. ,Fino ad un massimo di due volte. ,Più volte. 
"Indicare quale affermazione è conforme a quanto dispone il ""Capo III - Semplificazione  della documentazione  amministrativa Sezione V - Norme in materia di dichiarazioni sostitutive"" del D.P.R. n.  445/2000. ","I certificati medici, sanitari, veterinari, di origine, di conformità CE, di marchi o  brevetti non possono essere sostituiti da altro  documento, salvo diverse disposizioni della normativa di settore. ",Non può essere comprovato con dichiarazioni sottoscritte dall'interessato e prodotte in  sostituzione delle normali certificazioni lo  stato di liquidazione o di fallimento ovvero di concordato. ,"La denuncia all'Autorità di P.G. di smarrimento di documenti, è sempre presupposto "
"A norma del disposto di cui al comma 9, art. 2, l.n. 241/1990, la mancata o tardiva  emanazione del provvedimento nei  termini costituisce: ","Elemento di valutazione della performance individuale, nonché di responsabilità  disciplinare e amministrativo-contabile del dirigente  e del funzionario inadempiente. ","Elemento di valutazione della performance collettiva dell'Amministrazione, nonché di  responsabilità disciplinare e amministrativocontabile del dirigente e del funzionario  inadempiente. ",Responsabilità disciplinare e amministrativo-contabile del dirigente e del funzionario 
"Dal punto di vista degli effetti, le autorizzazioni ricognitive: ",Accertano l'esistenza dei presupposti richiesti dalla legge per esercitare una certa  attività. ,Attribuiscono nuove facoltà. ,Permettono di esercitare facoltà preesistenti. 
Il contenuto della motivazione di un provvedimento amministrativo può essere costituito  dal rinvio ad altro atto? ,"Sì, la motivazione per relationem è espressamente prevista all'art. 3 della l. n. 241/1990. ","Sì, lo prevede espressamente l'art. 3 della l. 241/1990, ma solo ed esclusivamente  qualora sia giustificato da ragioni di economicità. ",La motivazione per relationem è ammessa solo per i provvedimenti vincolati. 
"Con riferimento al riesame con esito conservativo del provvedimento adottato, la  convalida: ",Richiede la sussistenza di ragioni di tutela dell'interesse pubblico e l'esistenza di un  termine ragionevole entro il quale effettuare la  convalida. ,Può riguardare anche un atto amministrativo viziato per difetto dei presupposti. ,Spetta esclusivamente all'Amministrazione che ha emanato l'atto viziato. 
Indicare quale affermazione è conforme a quanto dispone l'art. 33 del D.Lgs. n. 104/2010 in merito alle pronunce  giurisdizionali e in particolare sui provvedimenti del giudice. ,Il giudice pronuncia sentenza quando definisce in tutto o in parte il giudizio. ,Le sentenze di primo grado non sono esecutive. ,Le ordinanze e i decreti devono essere sempre pronunciati in udienza o in camera di 
"Con riferimento al riesame con esito demolitorio del provvedimento adottato,  l'annullamento d'ufficio (art. 21-nonies della l.  n.241/1990): ",Produce due effetti: uno demolitorio e uno ripristinatorio. ,Ricorre quando si differisce il termine di efficacia di un precedente provvedimento. ,Ricorre quando l'Amministrazione ritira un atto non ancora efficace. 
Nell'ambito del procedimento amministrativo quale di questi mezzi di prova non può  essere assunto o ammesso d'ufficio dal  giudice (art. 63 C.p.a): ,La testimonianza. ,Chiarimenti o documenti. ,L'esibizione in giudizio da parte di terzi di documenti o quanto altro ritenga necessario. 
"A norma del disposto di cui al co. 4, art. 59, D.Lgs. n. 50/2016, sono considerate  inammissibili le offerte: ",Che non hanno la qualificazione necessaria. ,Che non rispettano i documenti di gara. ,Che sono state ricevute in ritardo rispetto ai termini indicati nel bando o nell'invito 
"Indicare quale tra le seguenti affermazioni sui pareri facoltativi e obbligatori (non  vincolanti, vincolanti, parzialmente  vincolanti, conformi) e sulla loro disciplina è corretta. ",I pareri si differenziano dalle valutazioni tecniche che consistono in giudizi tecnici  espressi in conformità alle scienze ed alle arti. ,Alla luce di quanto dispone l. n. 241/1990 il mancato rilascio del parere obbligatorio o  la mancata rappresentazione di esigenze  istruttorie obbligano l'amministrazione a interrompere l'iter procedimentale ed a  sollecitare il parere. ,"Sono legittimi i pareri emanati in sanatoria, dopo l'emanazione del provvedimento "
"A norma del disposto di cui all'art. 10, L. 400/1988, i sottosegretari di Stato: ",Sono nominati con decreto del Presidente della Repubblica su proposta del Presidente del  Consiglio dei ministri. ,Esercitano le attribuzioni loro conferite dal Presidente del Senato. ,Esercitano le attribuzioni loro conferite dal Presidente della Repubblica. 
"Con riferimento agli elementi ed ai requisiti dell'atto amministrativo, la condizione  sospensiva o risolutiva costituisce: ",Componente accidentale dell'atto. ,Elemento necessario giuridicamente per dar vita all'atto. ,Requisito di efficacia necessario perché l'atto spieghi i suoi effetti. 
La motivazione dei provvedimenti amministrativi può essere più o meno intensa a seconda  del tipo di atto. In caso di  provvedimenti positivi: ,La motivazione è succinta con riferimento alla conformità della domanda alla legge ed ai  regolamenti. ,La motivazione deve essere particolarmente ampia in quanto deve dare contezza della  valutazione degli interessi pubblici e privati  sottesi all'azione amministrativa. ,"La motivazione è ridotta alla c.d. giustificazioni, ovvero alle norme di legge poste a "
"La disposizione di cui all'art. 55-quater del D.Lgs. n. 165/2001, prevede alcune  fattispecie sanzionatorie, non conservative  del rapporto di lavoro, riconducibili alla tipologia del licenziamento c.d. disciplinare,  tra cui rileva: ","Insufficiente rendimento, dovuto alla reiterata violazione degli obblighi concernenti la  prestazione lavorativa, e rilevato dalla costante  valutazione negativa della performance del dipendente per ciascun anno dell'ultimo triennio, resa a tali specifici fini ai sensi  dell'articolo 3, comma 5-bis, del D.Lgs.n. 150/ 2009. ",Inosservanza lieve degli obblighi in materia di prevenzione degli infortuni e di  sicurezza sul lavoro. ,Atti o comportamenti denigratori nei confronti di un altro dipendente. 
"Indicare quale affermazione afferente ""l'autorizzazione"" è corretta. ",Nell'autorizzazione il privato opera sul mercato in concorrenza con altri soggetti  autorizzati. ,"L'autorizzazione ha natura costitutiva, in quanto attribuisce al privato un diritto di  cui prima non era titolare. ",Nell'autorizzazione vi è un potere di ingerenza della P.A. nello svolgimento 
"Con riferimento alle situazioni giuridiche soggettive attive, il diritto soggettivo: ","È il potere di agire per il soddisfacimento del proprio interesse, protetto  dall'ordinamento giuridico in modo pieno e diretto. ",È l'interesse giuridicamente qualificato che fa capo ad un determinato soggetto nei  confronti dell'ordinamento volto al conseguimento  di un risultato favorevole in occasione dell'esercizio della potestà pubblica. ,È la manifestazione dell'autonomia di un soggetto nella titolarità di specifiche 
"Affinché l'atto amministrativo oltre che perfetto sia valido ed efficace occorre che  oltre agli elementi costitutivi sussistano  anche alcuni requisiti, la cui mancanza incide sulla legittimità o sull'efficacia del  medesimo. I requisiti d'efficacia: ","Sono richiesti affinché l'atto già perfetto, possa produrre i suoi effetti. ",Sono richiesti dalla legge perché un atto sia valido. ,"Operano ex tunc e sono: i controlli, il verificarsi della condizione sospensiva e del "
La Relazione sulla performance (art. 10 D.Lgs. 150/2009) è adottata: ,Entro il 30 giugno. ,Entro il 31 luglio. ,Entro il 30 agosto. 
A norma di quanto dispone l'art. 29 del D.Lgs. n. 104/2010 l'azione di annullamento può  essere fatta valere per  incompetenza? ,"Sì, può essere fatta valere per incompetenza, violazione di legge ed eccesso di potere. ","No, può essere fatta valere solo per violazione di legge. ","Sì, può essere fatta valere solo per incompetenza ed eccesso di potere. "
Come e in quali termini si propone la domanda di risarcimento per lesione di interessi  legittimi ai sensi dell'art. 30 C.p.a.  nell'ambito del processo amministrativo? ,"Contestualmente ad altra azione o anche in via autonoma, entro il termine di decadenza di  centoventi giorni decorrente dal giorno in  cui il fatto si è verificato ovvero dalla conoscenza del provvedimento se il danno deriva  direttamente da questo. ","Contestualmente ad altra azione o anche in via autonoma, entro il termine di decadenza di  centottanta giorni decorrente dal giorno in  cui il fatto si è verificato ovvero dalla conoscenza del provvedimento se il danno deriva  direttamente da questo. ","Solo in via autonoma, entro il termine di decadenza di centottanta giorni decorrente dal "
Con riferimento alla incompletezza del contenuto della comunicazione di avvio del  procedimento (art. 8 l. n. 241/1990) la  giurisprudenza ha affermato che: ,La mancata comunicazione dell'unità organizzativa o del responsabile del procedimento  costituisce una mera irregolarità e in quanto  tale sanabile. ,La mancanza degli elementi informativi comporta inevitabilmente l'illegittimità del  provvedimento finale. ,La mancata comunicazione dell'oggetto del procedimento promosso costituisce in ogni caso 
L'autorizzazione: ,Costituisce un atto di consenso all'esercizio di un'attività o di un potere di cui il  soggetto pubblico o privato richiedente è già titolare  in base all'ordinamento. ,È un atto ampliativo della sfera giuridica del destinatario che attribuisce al  destinatario il diritto-dovere di svolgere in via esclusiva  un'attività o di godere di un determinato bene riservati originariamente alla P.A. ,"È un provvedimento con quale la P.A., nell'esercizio di una attività discrezionale "
"Con riferimento al procedimento amministrativo chi propone l'indizione o, avendone la  competenza, indice le conferenze di  servizi (comma 1, lett. c), art. 6 l. n. 241/1990)? ",Il responsabile del procedimento. ,Solo l'organo di governo dell'Amministrazione. ,Solo l'organo di indirizzo politico-amministrativo dell'Amministrazione. 
"A norma del disposto di cui al comma 1, art. 22, D.Lgs. n. 165/2001 i provvedimenti  afferenti la responsabilità dirigenziale  sono adottati sentito: ",Il Comitato dei garanti. ,La Corte dei Conti. ,La Presidenza del Consiglio dei Ministri. 
"Il legislatore nella riforma apportata ai commi 4 e 5 dell'art. 16 della l. n.  241/1990, (attività consultiva): ",Ha previsto la trasmissibilità dei pareri con mezzi telematici. ,Ha previsto che i termini per il rilascio dei pareri (obbligatori e facoltativi) possano  essere interrotti per più volte nel caso in cui  l'organo consultivo abbia rappresentato la necessità di esigenze istruttorie. ,"Ha previsto, in luogo ai 20 giorni per il rilascio del parere un termine di 45 giorni. "
In quali di questi casi il giudice non dichiara estinto il procedimento amministrativo  (art. 35 C.p.a)? ,Quando il giudizio non è stato instaurato nei confronti di una parte interessata. ,Quando il giudizio non viene proseguito o riassunto nel termine perentorio fissato dalla  legge o assegnato dal giudice. ,Per perenzione. 
"Ai sensi dell'art. 11 C.p.a. quando la giurisdizione è declinata dal giudice  amministrativo in favore di altro giudice nazionale  o viceversa, ferme restando le preclusioni e le decadenze intervenute, gli effetti  processuali e sostanziali della domanda sono  salvi? ","Si, sono fatti salvi gli effetti processuali e sostanziali della domanda se il processo è  riproposto innanzi al giudice indicato nella  pronuncia che declina la giurisdizione, entro il termine perentorio di tre mesi dal suo  passaggio in giudicato. ","Si, sono fatti salvi gli effetti processuali e sostanziali della domanda se il processo è  riproposto innanzi al giudice indicato nella  pronuncia che declina la giurisdizione, entro il termine perentorio di sei mesi dal suo  passaggio in giudicato. ","Si, sono fatti salvi gli effetti processuali e sostanziali della domanda se il processo è "
"A norma di quanto dispone l'art. 133 del C.p.a., salvo ulteriori previsioni di legge, a  chi sono devolute le controversie  relative ai rapporti di lavoro del personale in regime di diritto pubblico? ",Alla giurisdizione esclusiva del giudice amministrativo. ,Alla giurisdizione esclusiva del giudice ordinario. ,Alla giurisdizione esclusiva del TAR del Lazio. 
Indicare quali sono le informazioni minime previste per la segnatura di protocollo  informatico dei documenti spediti/ricevuti dalle pubbliche amministrazioni (art. 55 D.P.R. n. 445/2000). ,"Progressivo di protocollo, data di protocollo, identificazione in forma sintetica  dell'amministrazione o dell'area organizzativa. ","Progressivo di protocollo, data di protocollo, codice identificativo dell'ufficio cui il  documento è assegnato. ","Progressivo di protocollo, data di protocollo, codice di classificazione del documento. "
"Quali sono i requisiti di legittimità dell'atto amministrativo che attengono al profilo  funzionale degli atti discrezionali e  costituiscono i limiti interni della discrezionalità, la cui mancata osservanza comporta il  vizio dell'atto per eccesso di  potere? ","La corrispondenza all'interesse pubblico, la corrispondenza alla causa del potere e il  rispetto dei precetti di logica e imparzialità. ","La compatibilità, la competenza e la legittimazione. ","La mancanza di vizi della volontà, l'esistenza e sufficienza della motivazione, la "
"Si ha conflitto di competenza quando due o più autorità affermano o negano,  contemporaneamente, la propria potestà di  conoscere una determinata questione o materia ovvero quando esiste la sola possibilità che  sorga tale contrasto. Si ha  conflitto reale: ",Quando diverse autorità si siano già pronunciate circa la propria potestà in merito alla  questione. ,Quando due (o più) autorità affermano la propria competenza. ,Quando due (o più) autorità negano la propria competenza. 
I requisiti d'efficacia dell'atto amministrativo si distinguono in requisiti di  esecutività e requisiti d'obbligatorietà. Tra i  secondi rientrano: ,La trasmissione e la pubblicazione del provvedimento. ,Il verificarsi della condizione sospensiva e del termine. ,"L'accettazione dell'interessato, quando da essa la legge fa dipendere gli effetti "
"Con riferimento al riesame con esito conservativo del provvedimento adottato, la  rinnovazione: ",Si verifica quando l'Amministrazione a seguito di una nuova ponderazione degli interessi  emana un nuovo provvedimento che  sostituisce integralmente quello scaduto. ,Elimina il vizio di incompetenza relativa. ,Consente la conservazione di un provvedimento invalido mediante l'adozione sopravvenuta 
Svolgere le attività di organizzazione e gestione del personale e di gestione dei  rapporti sindacali e di lavoro è una funzione  che l'art. 16 del TUPI attribuisce: ,Ai dirigenti degli uffici dirigenziali generali dell'amministrazione. ,All'organo di indirizzo politico-amministrativo dell'amministrazione. ,All'organismo indipendente di valutazione della performance dell'amministrazione. 
"A norma di quanto prevede la legge n. 936/1986, quale dei seguenti soggetti può  chiedere pareri al Consiglio Nazionale  dell'Economia e del Lavoro? ",Le province autonome di Trento e di Bolzano. ,"Le Regioni, le Provincie ed i Comuni. ",Gli enti pubblici anche non economici. 
Dal punto di vista del rapporto tra gli atti si distinguono atti composti e atti  contestuali. Negli atti contestuali: ,Il vizio di una delle manifestazioni di volontà non si estende all'intero atto. ,Il vizio di una delle manifestazioni di volontà si estende all'intero atto. ,"Come per gli atti composti, il vizio di una delle manifestazioni di volontà si estende "
"Quando le pubbliche amministrazioni possono agire secondo le norme di diritto privato  (comma 1bis, art. 1, l. n. 241/1990)? ","Nell'adozione di atti di natura non autoritativa, salvo che la legge non disponga  diversamente. B) In nessun caso.  C) In ogni caso.  527. L'incompetenza, quale vizio di legittimità dell'atto amministrativo, può riguardare la  materia, il valore, il grado, il  territorio. Quando un organo eserciti la competenza di un altro organo delle stesso ente, ma  di diversa competenza  territoriale si configura incompetenza per:  Territorio. ",Grado. ,Materia. 
Tra gli atti propulsivi di poteri la proposta: ,È un atto con il quale l'amministrazione non si limita a richiedere l'apertura di un  procedimento ma esprime un giudizio anche sul  contenuto da dare all'atto finale. ,È un atto con il quale si intima ad un soggetto di svolgere una determinata attività o di  astenersi da un determinato comportamento  previsto dalla legge. ,È un atto diretto da un'amministrazione ad un'altra al fine di provocare l'emanazione di 
"In base alla tradizionale classificazione, i ricorsi amministrativi possono essere:  ordinari, straordinari, impugnatori, non  impugnatori, eliminatori, rinnovatori. Gli eliminatori: ","Possono comportare la sola eliminazione del provvedimento impugnato, con salvezza del  riesercizio del potere di amministrazione  attiva, nel rispetto del vincolo decisorio, da parte della P.A. che ha adottato il  provvedimento annullato. ","Comportano la devoluzione dell'intera pratica all'organo decidente, il quale non si  limita all'annullamento del provvedimento ma  procede alla sua modifica o sostituzione con altra determinazione che sancisce il definitivo  assetto di interessi sul tema. ","Si concretano nei soli ricorsi ai Consigli comunali e regionali, diretti a far dichiarare "
Il rapporto di lavoro dei dipendenti delle amministrazioni pubbliche è disciplinato: ,"Secondo le disposizioni dell'art. 2, commi 2 e 3, e dell'art. 3, comma 1 del D.Lgs. n.  165/2001. La legge n. 300/1970 si applica alle  P.A. a prescindere dal numero dei dipendenti. ","Secondo le disposizioni dell'art. 2, commi 2 e 3, e dell'art. 3, comma 1 del D.Lgs. n.  165/2001. La legge n. 300/1970 si applica solo  alle amministrazioni centrali dello Stato. ",Esclusivamente dalle disposizioni contenute nel codice civile. La legge n. 300/1970 si 
"Il Piano nazionale anticorruzione, di cui al comma 2-bis, art. 1, L. n. 190/2012: ",Costituisce atto di indirizzo per le p.a. ai fini dell'adozione dei propri piani  triennali di prevenzione della corruzione. ,Ha durata biennale ed è aggiornato annualmente. ,Ha durata quinquennale ed è aggiornato annualmente. 
Il preavviso di provvedimento di diniego di cui all'art. 10bis l. n. 241/1990: ,È escluso per i provvedimenti in materia previdenziale ed assistenziale sorti a seguito  di istanza di parte e gestiti dagli enti  previdenziali. ,Non è un atto endoprocedimentale e quindi è autonomamente impugnabile. ,È un istituto previsto per tutti i procedimenti siano o meno iniziati ad istanza di 
"Il Piano nazionale anticorruzione, di cui al comma 2-bis, art. 1, L. n. 190/2012: ",Ha durata triennale ed è aggiornato annualmente. ,Costituisce atto di indirizzo per le p.a. ai fini dell'adozione dei propri piani biennali  di prevenzione della corruzione. ,È adottato dal Ministro dell’Interno. 
"Con riguardo agli stati patologici dell'atto amministrativo e alle disposizioni contenute nella l.n. 241/1990, l'inesistenza del  contenuto: ",Comporta la nullità dello stesso. ,Non comporta in nessun caso la nullità dello stesso. ,Non comporta alcuna conseguenza negativa per lo stesso. 
"Quanto all’oggetto del diritto di accesso agli atti amministrativi, il legislatore non  ha ritenuto di addivenire ad una  elencazione della tipologia dei documenti accessibili limitandosi a darne una definizione  generale all’art. 22, comma 1, lett.  d) della legge n. 241/1990. È documento amministrativo ogni rappresentazione grafica,  fotocinematografica,  elettromagnetica o di qualunque altra specie del contenuto di atti: ","Anche interni o non relativi ad uno specifico procedimento, detenuti da una P.A. e  concernenti attività di pubblico interesse,  indipendentemente dalla natura pubblicistica o privatistica della loro disciplina sostanziale. ","Solo se interni e relativi ad uno specifico procedimento, detenuti da una P.A. e  concernenti attività di pubblico interesse,  indipendentemente dalla natura pubblicistica o privatistica della loro disciplina sostanziale. ","Solo se interni o non relativi ad uno specifico procedimento, detenuti da una P.A. e "
Ai sensi dell'art. 15 del Codice del processo amministrativo entro quando deve essere  rilevato il difetto di competenza e in  che modalità? ,Il difetto di competenza è rilevato d'ufficio finché la causa non è decisa in primo grado. ,Il difetto di competenza è rilevato su istanza di parte finché la causa non è decisa in  primo grado. ,"Il difetto di competenza è rilevato d'ufficio in qualsiasi momento, anche nel giudizio di "
"Si leggano le seguenti affermazioni circa i regolamenti emanati dal Governo in forza  della potestà attribuitagli dalla legge n.  400/1988: 1 - sono atti formalmente e sostanzialmente normativi; 2 - vengono deliberati dal  Consiglio dei Ministri, udito il  parere del Consiglio di Stato, ed emanati con decreto del Presidente della Repubblica; 3 -  sono inseriti nella Raccolta  ufficiale degli atti normativi della Repubblica italiana e pubblicati sulla Gazzetta  ufficiale; 4 - entrano in vigore di norma  dopo una vacatio di 30 giorni, salvo l'indicazione di un termine più breve. ",Sono corrette solo le affermazioni contrassegnate con i numeri 2 e 3. ,Sono corrette solo le affermazioni contrassegnate con i numeri 1 e 4. ,Sono corrette solo le affermazioni contrassegnate con i numeri 3 e 4. 
"Il Ministro, nell'esercizio dei poteri definiti dall'art. 14 del D.Lgs. n. 165/2001,  tra l'altro.... ","Effettua, ai fini dell'adempimento dell'attività amministrativa e della gestione,  l'assegnazione delle risorse ai dirigenti preposti ai  centri di responsabilità delle rispettive amministrazioni. ",Promuove e resiste alle liti. ,Decide sui ricorsi gerarchici contro gli atti e i provvedimenti amministrativi non 
Le autorità amministrative indipendenti: ,Sono caratterizzate da un elevato livello di competenze tecniche. ,Sono organi dell'amministrazione statale. ,Quanto a poteri sanzionatori sono equiparate ai giudici. 
Nella comunicazione di avvio del procedimento oltre all'ufficio e alla persona  responsabile del procedimento devono essere  indicati (art. 8 l.n. 241/1990): ,"1) l'amministrazione competente; 2) l'oggetto del procedimento promosso; 3) la data entro  la quale deve concludersi il procedimento e  i rimedi esperibili in caso di inerzia dell'amministrazione; 4) nei procedimenti ad  iniziativa di parte, la data di presentazione della  relativa istanza; 5) l'ufficio in cui si può prendere visione degli atti. ","1) l'amministrazione competente; 2) l'oggetto del procedimento promosso; 3) la data entro la quale deve concludersi il procedimento e  i rimedi esperibili in caso di inerzia dell'amministrazione; 4) nei procedimenti ad  iniziativa di parte, la data di presentazione della  relativa istanza; 5) il nominativo del dirigente dell'URP al quale è possibile rivolgersi. ",1) l'amministrazione competente; 2) l'oggetto del procedimento promosso; 3) la data entro 
"Entro quale termine si propone l'azione di annullamento per violazione di legge,  incompetenza ed eccesso di potere ai sensi  dell'art. 29 C.p.a. nell'ambito del processo amministrativo? ",Entro il termine di decadenza di sessanta giorni. ,Entro il termine di decadenza di novanta giorni. ,"Entro il termine di sessanta giorni, non previsto a pena di decadenza. "
Quanto alla tempistica dell'azione avverso il silenzio delle P.A. (art. 31 Codice  processo amm.vo) essa: ,Può essere proposta fintanto che perdura l'inadempimento e comunque non oltre un anno  dalla scadenza del termine di conclusione  del procedimento. ,Può essere proposta fintanto che perdura l'inadempimento. ,Può essere proposta fintanto che perdura l'inadempimento e comunque non oltre sei mesi 
Le Agenzie di cui all'art. 8 del D.Lgs. n. 300/1999: ,"Hanno piena autonomia nei limiti stabiliti dalla legge, sono sottoposte al controllo  della Corte dei conti ed ai poteri di indirizzo e di  vigilanza del Ministro. ","Hanno piena autonomia nei limiti stabiliti dalla legge, sono sottoposte al controllo  della Corte dei conti ed ai poteri di indirizzo e di  vigilanza del Parlamento. ",Hanno piena autonomia nei limiti stabiliti dalla legge e non sono sottoposte al controllo 
Tra gli atti amministrativi non provvedimentali che rappresentano semplici momenti dei  procedimenti preordinati  all'emanazione e all'operatività dei provvedimenti rientrano: ,Gli accertamenti preparatori ed i visti. ,Le certificazioni e le registrazioni. ,I pareri e le verbalizzazioni. 
"A norma di quanto dispone l'art. 33 del D.Lgs. n. 165/2001 nel caso in cui le P.A.  abbiano situazioni di soprannumero o  rilevino eccedenze di personale, in relazione alle esigenze funzionali o alla situazione  finanziaria il dirigente responsabile: ",Deve dare un'informativa preventiva alle rappresentanze unitarie del personale e alle  organizzazioni sindacali firmatarie del contratto  collettivo nazionale del comparto o area. ,Deve dare un'informativa preventiva ai dipendenti del comparto o area interessati. ,Deve dare un'informativa preventiva al Consiglio di Stato. 
"Ai sensi dell'art. 14 ter comma 3, della l. 241/1990, ciascun ente o amministrazione  convocato alla riunione della conferenza  di servizi simultanea è rappresentato da: ",Un unico soggetto abilitato ad esprimere definitivamente e in modo univoco e vincolante  la posizione dell'amministrazione stessa su  tutte le decisioni di competenza della conferenza. ,Un unico soggetto che in caso di assenso è abilitato ad esprimere definitivamente e in  modo univoco e vincolante la posizione  dell'amministrazione stessa su tutte le decisioni di competenza della conferenza. ,Almeno due soggetti abilitati ad esprimere definitivamente e in modo univoco e vincolante 
Con riferimento all'organizzazione amministrativa si distingue la competenza esterna e  la competenza interna; la prima: ,"Riguarda i poteri e le funzioni che l'organo può esercitare nei confronti di terzi, ed è determinata dalla legge ordinaria. ",Attribuisce ad un organo il potere decisionale e ad altri organi un potere consultivo per  materia. ,Corrisponde all'insieme dei compiti svolti dall'organo all'interno della pubblica 
"L'art. 10bis della l. n. 241/1990 con riferimento al preavviso di diniego detta  disposizioni anche sulle interazioni tra  preavviso e termini procedimentali, stabilendo in particolare che: ","Entro 10 giorni dal ricevimento della comunicazione gli istanti hanno il diritto di  presentare le loro osservazioni, eventualmente  corredate da documenti. ","Entro 20 giorni dal ricevimento della comunicazione gli istanti hanno il diritto di  presentare le loro osservazioni, eventualmente  corredate da documenti. ",Entro 30 giorni dal ricevimento della comunicazione gli istanti hanno il diritto di 
"Ai sensi dell'art. 14 quater comma 3, della l. 241/1990, in caso di approvazione  unanime, la determinazione di conclusione  della conferenza, è: ",Immediatamente efficace. ,Efficace dal quinto giorno a decorrere dall'approvazione unanime. ,Efficace dal decimo giorno a decorrere dall'approvazione unanime. 
L'Autorità nazionale anticorruzione esercita poteri ispettivi? ,"Si, mediante richiesta di notizie, informazioni, atti e documenti alle p.a. ","No, l’Autorità è un organo consultivo che collabora con i paritetici organismi stranieri,  con le organizzazioni regionali ed  internazionali competenti. ","No, l'Autorità nazionale anticorruzione non esercita poteri ispettivi. "
"In base alla tradizionale classificazione, i ricorsi amministrativi possono essere:  ordinari, straordinari, impugnatori, non  impugnatori, eliminatori, rinnovatori. I ricorsi non impugnatori: ",Hanno carattere eccezionale ed atipico e come oggetto un mero comportamento della P.A. o  la costituzione o la modifica di un  rapporto giuridico. ,Hanno carattere generale e come oggetto un mero comportamento della P.A. ,"Presuppongono una manifestazione di volontà della P.A., contenuta in un atto "
Il comma 1 dell'art. 2 della l. n. 241/1990 prevede l'obbligo di conclusione esplicita  del procedimento amministrativo: ,Sia quando esso consegua obbligatoriamente ad istanza ovvero sia quando sia iniziato  d'ufficio. ,Solo quando esso consegua ad istanza o ad una denuncia. ,Solo quando il procedimento debba essere iniziato d'ufficio per iniziativa di altra 
