Domanda,Risposta 1,Risposta 2,Risposta 3
"Il Piano nazionale anticorruzione, di cui al comma 2-bis, art. 1, L. n. 190/2012: ",Costituisce atto di indirizzo per le p.a. ai fini dell'adozione dei propri piani  triennali di prevenzione della corruzione. ,Ha durata biennale ed è aggiornato annualmente. ,Ha durata quinquennale ed è aggiornato annualmente. 
Il preavviso di provvedimento di diniego di cui all'art. 10bis l. n. 241/1990: ,È escluso per i provvedimenti in materia previdenziale ed assistenziale sorti a seguito  di istanza di parte e gestiti dagli enti  previdenziali. ,Non è un atto endoprocedimentale e quindi è autonomamente impugnabile. ,È un istituto previsto per tutti i procedimenti siano o meno iniziati ad istanza di 
"Il Piano nazionale anticorruzione, di cui al comma 2-bis, art. 1, L. n. 190/2012: ",Ha durata triennale ed è aggiornato annualmente. ,Costituisce atto di indirizzo per le p.a. ai fini dell'adozione dei propri piani biennali  di prevenzione della corruzione. ,È adottato dal Ministro dell’Interno. 
"Con riguardo agli stati patologici dell'atto amministrativo e alle disposizioni contenute nella l.n. 241/1990, l'inesistenza del  contenuto: ",Comporta la nullità dello stesso. ,Non comporta in nessun caso la nullità dello stesso. ,Non comporta alcuna conseguenza negativa per lo stesso. 
"Quanto all’oggetto del diritto di accesso agli atti amministrativi, il legislatore non  ha ritenuto di addivenire ad una  elencazione della tipologia dei documenti accessibili limitandosi a darne una definizione  generale all’art. 22, comma 1, lett.  d) della legge n. 241/1990. È documento amministrativo ogni rappresentazione grafica,  fotocinematografica,  elettromagnetica o di qualunque altra specie del contenuto di atti: ","Anche interni o non relativi ad uno specifico procedimento, detenuti da una P.A. e  concernenti attività di pubblico interesse,  indipendentemente dalla natura pubblicistica o privatistica della loro disciplina sostanziale. ","Solo se interni e relativi ad uno specifico procedimento, detenuti da una P.A. e  concernenti attività di pubblico interesse,  indipendentemente dalla natura pubblicistica o privatistica della loro disciplina sostanziale. ","Solo se interni o non relativi ad uno specifico procedimento, detenuti da una P.A. e "
Ai sensi dell'art. 15 del Codice del processo amministrativo entro quando deve essere  rilevato il difetto di competenza e in  che modalità? ,Il difetto di competenza è rilevato d'ufficio finché la causa non è decisa in primo grado. ,Il difetto di competenza è rilevato su istanza di parte finché la causa non è decisa in  primo grado. ,"Il difetto di competenza è rilevato d'ufficio in qualsiasi momento, anche nel giudizio di "
"Si leggano le seguenti affermazioni circa i regolamenti emanati dal Governo in forza  della potestà attribuitagli dalla legge n.  400/1988: 1 - sono atti formalmente e sostanzialmente normativi; 2 - vengono deliberati dal  Consiglio dei Ministri, udito il  parere del Consiglio di Stato, ed emanati con decreto del Presidente della Repubblica; 3 -  sono inseriti nella Raccolta  ufficiale degli atti normativi della Repubblica italiana e pubblicati sulla Gazzetta  ufficiale; 4 - entrano in vigore di norma  dopo una vacatio di 30 giorni, salvo l'indicazione di un termine più breve. ",Sono corrette solo le affermazioni contrassegnate con i numeri 2 e 3. ,Sono corrette solo le affermazioni contrassegnate con i numeri 1 e 4. ,Sono corrette solo le affermazioni contrassegnate con i numeri 3 e 4. 
"Il Ministro, nell'esercizio dei poteri definiti dall'art. 14 del D.Lgs. n. 165/2001,  tra l'altro.... ","Effettua, ai fini dell'adempimento dell'attività amministrativa e della gestione,  l'assegnazione delle risorse ai dirigenti preposti ai  centri di responsabilità delle rispettive amministrazioni. ",Promuove e resiste alle liti. ,Decide sui ricorsi gerarchici contro gli atti e i provvedimenti amministrativi non 
Le autorità amministrative indipendenti: ,Sono caratterizzate da un elevato livello di competenze tecniche. ,Sono organi dell'amministrazione statale. ,Quanto a poteri sanzionatori sono equiparate ai giudici. 
Nella comunicazione di avvio del procedimento oltre all'ufficio e alla persona  responsabile del procedimento devono essere  indicati (art. 8 l.n. 241/1990): ,"1) l'amministrazione competente; 2) l'oggetto del procedimento promosso; 3) la data entro  la quale deve concludersi il procedimento e  i rimedi esperibili in caso di inerzia dell'amministrazione; 4) nei procedimenti ad  iniziativa di parte, la data di presentazione della  relativa istanza; 5) l'ufficio in cui si può prendere visione degli atti. ","1) l'amministrazione competente; 2) l'oggetto del procedimento promosso; 3) la data entro la quale deve concludersi il procedimento e  i rimedi esperibili in caso di inerzia dell'amministrazione; 4) nei procedimenti ad  iniziativa di parte, la data di presentazione della  relativa istanza; 5) il nominativo del dirigente dell'URP al quale è possibile rivolgersi. ",1) l'amministrazione competente; 2) l'oggetto del procedimento promosso; 3) la data entro 
"Entro quale termine si propone l'azione di annullamento per violazione di legge,  incompetenza ed eccesso di potere ai sensi  dell'art. 29 C.p.a. nell'ambito del processo amministrativo? ",Entro il termine di decadenza di sessanta giorni. ,Entro il termine di decadenza di novanta giorni. ,"Entro il termine di sessanta giorni, non previsto a pena di decadenza. "
Quanto alla tempistica dell'azione avverso il silenzio delle P.A. (art. 31 Codice  processo amm.vo) essa: ,Può essere proposta fintanto che perdura l'inadempimento e comunque non oltre un anno  dalla scadenza del termine di conclusione  del procedimento. ,Può essere proposta fintanto che perdura l'inadempimento. ,Può essere proposta fintanto che perdura l'inadempimento e comunque non oltre sei mesi 
Le Agenzie di cui all'art. 8 del D.Lgs. n. 300/1999: ,"Hanno piena autonomia nei limiti stabiliti dalla legge, sono sottoposte al controllo  della Corte dei conti ed ai poteri di indirizzo e di  vigilanza del Ministro. ","Hanno piena autonomia nei limiti stabiliti dalla legge, sono sottoposte al controllo  della Corte dei conti ed ai poteri di indirizzo e di  vigilanza del Parlamento. ",Hanno piena autonomia nei limiti stabiliti dalla legge e non sono sottoposte al controllo 
Tra gli atti amministrativi non provvedimentali che rappresentano semplici momenti dei  procedimenti preordinati  all'emanazione e all'operatività dei provvedimenti rientrano: ,Gli accertamenti preparatori ed i visti. ,Le certificazioni e le registrazioni. ,I pareri e le verbalizzazioni. 
"A norma di quanto dispone l'art. 33 del D.Lgs. n. 165/2001 nel caso in cui le P.A.  abbiano situazioni di soprannumero o  rilevino eccedenze di personale, in relazione alle esigenze funzionali o alla situazione  finanziaria il dirigente responsabile: ",Deve dare un'informativa preventiva alle rappresentanze unitarie del personale e alle  organizzazioni sindacali firmatarie del contratto  collettivo nazionale del comparto o area. ,Deve dare un'informativa preventiva ai dipendenti del comparto o area interessati. ,Deve dare un'informativa preventiva al Consiglio di Stato. 
"Ai sensi dell'art. 14 ter comma 3, della l. 241/1990, ciascun ente o amministrazione  convocato alla riunione della conferenza  di servizi simultanea è rappresentato da: ",Un unico soggetto abilitato ad esprimere definitivamente e in modo univoco e vincolante  la posizione dell'amministrazione stessa su  tutte le decisioni di competenza della conferenza. ,Un unico soggetto che in caso di assenso è abilitato ad esprimere definitivamente e in  modo univoco e vincolante la posizione  dell'amministrazione stessa su tutte le decisioni di competenza della conferenza. ,Almeno due soggetti abilitati ad esprimere definitivamente e in modo univoco e vincolante 
Con riferimento all'organizzazione amministrativa si distingue la competenza esterna e  la competenza interna; la prima: ,"Riguarda i poteri e le funzioni che l'organo può esercitare nei confronti di terzi, ed è determinata dalla legge ordinaria. ",Attribuisce ad un organo il potere decisionale e ad altri organi un potere consultivo per  materia. ,Corrisponde all'insieme dei compiti svolti dall'organo all'interno della pubblica 
"L'art. 10bis della l. n. 241/1990 con riferimento al preavviso di diniego detta  disposizioni anche sulle interazioni tra  preavviso e termini procedimentali, stabilendo in particolare che: ","Entro 10 giorni dal ricevimento della comunicazione gli istanti hanno il diritto di  presentare le loro osservazioni, eventualmente  corredate da documenti. ","Entro 20 giorni dal ricevimento della comunicazione gli istanti hanno il diritto di  presentare le loro osservazioni, eventualmente  corredate da documenti. ",Entro 30 giorni dal ricevimento della comunicazione gli istanti hanno il diritto di 
"Ai sensi dell'art. 14 quater comma 3, della l. 241/1990, in caso di approvazione  unanime, la determinazione di conclusione  della conferenza, è: ",Immediatamente efficace. ,Efficace dal quinto giorno a decorrere dall'approvazione unanime. ,Efficace dal decimo giorno a decorrere dall'approvazione unanime. 
L'Autorità nazionale anticorruzione esercita poteri ispettivi? ,"Si, mediante richiesta di notizie, informazioni, atti e documenti alle p.a. ","No, l’Autorità è un organo consultivo che collabora con i paritetici organismi stranieri,  con le organizzazioni regionali ed  internazionali competenti. ","No, l'Autorità nazionale anticorruzione non esercita poteri ispettivi. "
"In base alla tradizionale classificazione, i ricorsi amministrativi possono essere:  ordinari, straordinari, impugnatori, non  impugnatori, eliminatori, rinnovatori. I ricorsi non impugnatori: ",Hanno carattere eccezionale ed atipico e come oggetto un mero comportamento della P.A. o  la costituzione o la modifica di un  rapporto giuridico. ,Hanno carattere generale e come oggetto un mero comportamento della P.A. ,"Presuppongono una manifestazione di volontà della P.A., contenuta in un atto "
Il comma 1 dell'art. 2 della l. n. 241/1990 prevede l'obbligo di conclusione esplicita  del procedimento amministrativo: ,Sia quando esso consegua obbligatoriamente ad istanza ovvero sia quando sia iniziato  d'ufficio. ,Solo quando esso consegua ad istanza o ad una denuncia. ,Solo quando il procedimento debba essere iniziato d'ufficio per iniziativa di altra 
Un cittadino di uno Stato membro dell'Unione europea può accedere ai posti di lavoro  presso le amministrazioni pubbliche  che implicano esercizio diretto o indiretto di pubblici poteri? ,"No, lo vieta espressamente la legislazione vigente (art. 38 D.Lgs. n. 165/2001). ","Si, lo prevede espressamente la legislazione vigente (art. 38 D.Lgs. n. 165/2001). ",Solo a seguito di convenzione che preveda la scambio di dipendenti tra Stati membri 
"A norma del disposto di cui all'art. 2, L. 400/1988, i provvedimenti da emanare con  decreto del Presidente della Repubblica  previo parere del Consiglio di Stato, se il Ministro competente non intende conformarsi a  tale parere: ",Sono deliberati dal Consiglio dei ministri. ,"Sono adottati dal Presidente del Consiglio dei ministri, sentito il Ministro competente. ","Sono deliberati dal Consiglio dei ministri, previa autorizzazione delle competenti "
La sostituzione nell'emanazione di atti: ,"Richiede che il provvedimento da emanare sia un atto vincolato nell'emanazione. B) Non richiede che vi sia una previsione di legge.  C) È un meccanismo mediante il quale un organo gerarchicamente superiore decide di  esercitare un potere attribuito alla competenza di  un organo inferiore per motivi di interesse pubblico ed indipendentemente dall'inadempimento  dell'organo istituzionale competente.  556. Indicare quale affermazione è conforme a quanto dispone il Capo VI del D.P.R. n.  445/2000 afferente alle sanzioni applicate  in caso di violazione di norme.  Qualora dal controllo effettuato dalle amministrazioni procedenti emerga la non  veridicità del contenuto della dichiarazione, il  dichiarante decade dai benefìci eventualmente conseguenti al provvedimento emanato sulla  base della dichiarazione non veritiera. ","Se i reati indicati nei commi 1, 2 e 3 dell'art. 76 sono commessi per ottenere la nomina  ad un pubblico ufficio o l'autorizzazione  all'esercizio di una professione o arte, il giudice applica sempre l'interdizione perpetua  dai pubblici uffici o dalla professione e arte. ",La richiesta e l'accettazione di certificazione o di atto di notorietà non costituisce 
"Sugli atti del Presidente del Consiglio dei Ministri e sugli atti dei Ministri aventi  ad oggetto la definizione delle piante  organiche, il conferimento di incarichi di funzioni dirigenziali e le direttive generali per  l'indirizzo e per lo svolgimento  dell'azione amministrativa, la Corte dei conti esercita un controllo (art. 3 l.n. 20/1994): ",Preventivo di legittimità. ,Successivo di legittimità. ,Preventivo di legittimità e di merito. 
"Qualora l'amministrazione chiamata a produrre l'atto terminale possa discostarsi dal  parere solo in un determinato senso o  per particolari aspetti motivando in merito, i pareri sono: ",Obbligatori parzialmente vincolanti. ,Facoltativi. ,Obbligatori vincolanti. 
Il responsabile del procedimento ha una serie di compiti propri ed altri attribuiti in  via eventuale qualora ne abbia la  competenza. Ai sensi dell'art. 6 della l. n. 241/1990: ,"È compito proprio la valutazione, ai fini istruttori, delle condizioni di ammissibilità. ",È compito proprio l'adozione del provvedimento finale. ,"È compito eventuale la valutazione, ai fini istruttori, dei requisiti di legittimazione e "
"L'oggetto del procedimento amministrativo è un comportamento, un fatto o un bene sul  quale si indirizza la volontà  dell'amministrazione. I requisiti dell'oggetto sono: ","Determinatezza, possibilità e liceità. ",Determinatezza e liceità. ,Determinatezza o determinabilità. 
"Tra gli atti propulsivi di obblighi, la contestazione: ",È un atto con il quale si invitano gli interessati a presentare le proprie deduzioni o  giustificazioni in merito a fatti o comportamenti  che costituiscono violazione di obblighi normativi. ,È un atto con il quale si intima ad un soggetto di svolgere una determinata attività o di  astenersi da un determinato comportamento  previsto dalla legge. ,È un atto diretto da un'amministrazione ad un'altra al fine di provocare l'emanazione di 
"Con riferimento agli elementi essenziali del provvedimento amministrativo, il contenuto: ",Costituisce l'insieme delle statuizioni contenute nell'atto. ,Può essere costituito solo da un ordine. ,Non può mai essere determinato dalla presenza di elementi accidentali (termine o 
"A norma di quanto dispone l'art. 55-quinquies del D.Lgs. n. 165/2001, fermo quanto  previsto dal codice penale, come è punito il lavoratore che attesta falsamente la propria presenza in servizio, mediante  l'alterazione dei sistemi di rilevamento  della presenza o con altre modalità fraudolente ovvero giustifica l'assenza dal servizio  mediante una certificazione medica  falsa o falsamente attestante uno stato di malattia? ",È punito con la reclusione da uno a cinque anni e con la multa da euro 400 ad euro 1.600. ,È punito con la reclusione da uno a due anni e con la multa da euro 100 ad euro 600. ,È punito con la reclusione da sei mesi a cinque anni e con la multa da euro 500 ad euro 
 564. Ai sensi dell'art. 35 C.p.a. nell'ambito del processo amministrativo il ricorso è  irricevibile: ,Se il giudice accerta la tardività della notificazione o del deposito. ,Quando è carente l'interesse o sussistono altre ragioni ostative ad una pronuncia sul  merito. ,Quando nel corso del giudizio sopravviene il difetto di interesse delle parti alla 
"In base alla tradizionale classificazione, i ricorsi amministrativi possono essere:  ordinari, straordinari, impugnatori, non  impugnatori, eliminatori, rinnovatori. I ricorsi rinnovatori: ","Comportano la devoluzione dell'intera pratica all'organo decidente, il quale non si  limita all'annullamento del provvedimento ma  procede alla sua modifica o sostituzione con altra determinazione che sancisce il definitivo  assetto di interessi sul tema. ","Possono comportare la sola eliminazione del provvedimento impugnato, con salvezza del  riesercizio del potere di amministrazione  attiva, nel rispetto del vincolo decisorio, da parte della P.A. che ha adottato il  provvedimento annullato. ",Si concretano nei soli ricorsi alle commissioni di vigilanza per l'edilizia economica e 
"Il Ministro, a norma del disposto di cui all'art. 14, D.Lgs. n. 165/2001: ",Non può riformare provvedimenti o atti di competenza dei dirigenti. ,Può adottare provvedimenti o atti di competenza dei dirigenti. ,Può revocare provvedimenti o atti di competenza dei dirigenti. 
Ai sensi dell'art. 8 C.p.a. quale è l'autorità giudiziaria competente per le questioni  pregiudiziali concernenti lo stato e la  capacità delle persone (salvo che si tratti della capacità di stare in giudizio) e la  risoluzione dell'incidente di falso? ,L'autorità giudiziaria ordinaria. ,Il Consiglio di Stato. ,Il Tribunale amministrativo regionale. 
Il provvedimento amministrativo viziato da eccesso di potere (art. 21octies l. n.  241/1990): ,È annullabile. ,È nullo. ,Non può essere in nessun caso annullato. 
"Sui provvedimenti emanati a seguito di deliberazione del Consiglio dei Ministri, la  Corte dei conti esercita un controllo (art.  3 l.n. 20/1994): ",Preventivo di legittimità. ,Successivo di legittimità. ,Preventivo di legittimità e di merito. 
Indicare quale tra le seguenti affermazioni sui pareri facoltativi e obbligatori e  sulla loro disciplina è consona a quanto  dispone l’art. 16 della l. n. 241/1990. ,In caso di pareri che debbano essere rilasciati da amministrazioni preposte alla tutela  della salute dei cittadini non trovano  applicazione i termini previsti dall'art. 16 della l. n. 241/1990. ,I pareri devono essere resi nel termine di 60 giorni. ,Il responsabile è in ogni caso chiamato a rispondere degli eventuali danni derivanti 
"A norma di quanto dispone l'art. 103 del D.Lgs. n. 104/2010, contro le sentenze non definitive: ",È proponibile appello ovvero la riserva d'appello. ,È proponibile solo la riserva d'appello. ,Deve necessariamente essere proposto appello. 
"Relativamente al diritto di accesso ai documenti amministrativi è corretto affermare  che (art. 24, l. n. 241/1990): ",Non sono ammissibili istanze di accesso preordinate ad un controllo generalizzato  dell'operato delle pubbliche amministrazioni. ,"Il diritto di accesso è consentito nei procedimenti selettivi, anche nei confronti dei  documenti amministrativi contenenti informazioni  di carattere psicoattitudinale relative a terzi. ",L'accesso ai documenti amministrativi può essere negato anche ove sia sufficiente fare 
L'agente del provvedimento amministrativo può essere un privato esercente una pubblica  funzione? ,"Sì, può essere anche un privato esercente una pubblica funzione. ","Sì, può essere solo un'autorità amministrativa ovvero un privato esercente una pubblica  funzione. ","No, può essere solo un'autorità amministrativa ovvero un privato obbligato a svolgere un "
Ricorso straordinario al Capo dello Stato (D.P.R. n. 1199/1971). Indicare  l'affermazione corretta. ,Il presupposto della definitività dell'atto da sottoporre al ricorso impedisce che tale  rimedio possa essere esperito anche nei confronti  di tutti gli atti che non sono direttamente e autonomamente lesivi di una posizione  giuridica soggettiva. ,Non è alternativo al ricorso giurisdizionale amministrativo. ,È un rimedio amministrativo di carattere generale consistente nell'impugnativa di un atto 
I provvedimenti ablatori obbligatori: ,"In quanto provvedimenti che limitano la sfera giuridica dei destinatari, devono essere  espressamente previsti dalla legge. ",Consistono nel trasferimento coattivo di un bene o di un diritto reale alla pubblica  amministrazione. ,Trasferiscono un diritto appartenente alla pubblica amministrazione a uno o più soggetti 
"Le acquisizioni di scienza espletate dagli organi ordinari della P.A., che possono  culminare in un atto ricognitivo o esaurirsi  in sè stesse, e comportanti potenzialmente l'ingerenza nella sfera giuridica di altri che si  trovano in posizione di soggezione  costituiscono: ",Le ispezioni. ,Gli accertamenti. ,Atti consistenti in manifestazioni di giudizio. 
"Nell'ambito del procedimento ad evidenza pubblica, a norma di quanto dispone l'art. 32  del D.Lgs. n. 50/2016, con quale  atto la stazione appaltante individua i criteri di selezione delle offerte? ",Decreto o determinazione a contrarre. ,Capitolato generale. ,Aggiudicazione provvisoria. 
"A norma di quanto dispone il Codice del processo amministrativo, a chi sono devolute,  salvo ulteriori previsioni di legge, le  controversie concernenti l'esercizio del diritto a chiedere e ottenere l'uso delle  tecnologie telematiche nelle comunicazioni  con le pubbliche amministrazioni? ",Giudice amministrativo. ,Giudice ordinario. ,Corte dei conti. 
La sostituzione nell'emanazione di atti: ,Presuppone sempre una inerzia del sostituito. ,Non richiede che il provvedimento da emanare sia un atto vincolato nell'emanazione. ,Non richiede che l'organo inferiore abbia ingiustificatamente omesso di provvedere. 580. Quanto all'accertamento e alla relativa declaratoria delle nullità previste all'art 31 
"Ove non sia già direttamente stabilito per legge o per regolamento per specifici tipi  di procedimento, le Amministrazioni  pubbliche hanno l'obbligo di determinare, preventivamente per ciascun tipo di procedimento  amministrativo, l'unità  organizzativa responsabile (art. 4, l. n. 241/1990): ","Dell'istruttoria e di ogni altro adempimento procedimentale, nonché dell'adozione del  provvedimento finale. ",Dell'adozione del provvedimento finale. ,Dell'istruttoria. 
"Ai sensi del comma 1 dell'art. 14 della legge 241/1990, qualora sia opportuno  effettuare un esame contestuale di vari  interessi pubblici coinvolti in un procedimento amministrativo, ovvero in più procedimenti  amministrativi connessi  riguardanti medesime attività o risultati, l'amministrazione procedente può indire una: ",Conferenza di servizi istruttoria. ,Conferenza decisoria. ,Conferenza tecnica. 
Sono suscettibili di revoca gli atti vincolati? ,No. La revoca ha ad oggetto provvedimenti amministrativi discrezionali con efficacia  durevole. ,"Sì, tutti i provvedimenti possono essere revocati, fatta eccezione per quelli che hanno  consumato il potere. ",Sì. 
"La l. n. 241/1990 ha sancito il c.d. principio di contrattualità dell'azione  amministrativa, cosa dispone in merito l'art. 11  della citata legge? ","Gli accordi sostitutivi di provvedimenti devono essere stipulati, a pena di nullità, per  atto scritto, salvo che la legge disponga  altrimenti. ",Qualora l'Amministrazione receda dall'accordo per sopravvenuti motivi di interesse  pubblico non è obbligata a provvedere alla  liquidazione di un indennizzo in relazione agli eventuali pregiudizi verificatisi in danno  al privato. ,Gli accordi sostituitivi di provvedimenti non sono soggetti a controllo. 
L'eccesso di potere si configura quando la p.a. esercita il potere per finalità diverse  da quelle stabilite dalla norma  attributiva del potere; quale tra le seguenti costituisce un'ipotesi di eccesso di potere? ,Travisamento dei fatti e dei presupposti. ,Mancanza totale della motivazione. ,Mancata applicazione della norma. 
"I requisiti d'efficacia dell'atto amministrativo, sono richiesti affinché l'atto già  perfetto, possa produrre i suoi effetti. Tra essi  rientrano: ","L'accettazione dell'interessato, quando da essa la legge fa dipendere gli effetti  dell'atto. ",La corrispondenza all'interesse pubblico. ,La corrispondenza alla causa del potere. 
"Con riferimento al riesame con esito conservativo del provvedimento adottato, la  rinnovazione: ",È possibile sempreché l'atto precedente non sia stato annullato per ragioni di ordine  sostanziale (es: mancanza di un presupposto). ,Elimina il vizio di incompetenza relativa. ,Consente la conservazione di un provvedimento invalido mediante l'adozione sopravvenuta di atti infrapocedimentali inizialmente 
"Tra i sedici componenti del CSM eletti dai magistrati ordinari, dieci sono eletti: ",Tra i magistrati che esercitano le funzioni di giudice presso gli uffici di merito ovvero  che sono destinati alla Corte suprema di  cassazione. ,Tra i magistrati che esercitano le funzioni di giudice presso gli uffici di merito. ,Tra i magistrati che esercitano le funzioni di legittimità presso la Corte suprema di 
Entro quale termine deve essere redatta la sentenza nell'ambito del procedimento  amministrativo ai sensi dell'art. 89 C.p.a.? ,Non oltre il quarantacinquesimo giorno da quello della decisione della causa. ,Non oltre il sessantesimo giorno da quello della decisione della causa. ,Entro trenta giorni dall'ultima udienza. 
Ai sensi dell'art. 13 C.p.a. quale è la competenza territoriale inderogabile per le  controversie riguardanti pubblici  dipendenti? ,È competente il tribunale nella cui circoscrizione territoriale è situata la sede di  servizio. ,È competente il tribunale nella cui circoscrizione territoriale ha la residenza il  pubblico dipendente. ,È competente il tribunale nella cui circoscrizione territoriale è stato assunto il 
Nell'ambito del procedimento amministrativo è prevista l'abbreviazione dei termini dal  codice di procedura amministrativa  (art. 53 C.p.a)? ,"Si, nei casi d'urgenza, il presidente del tribunale può, su istanza di parte, abbreviare  fino alla metà i termini. ","Si, in qualsiasi caso, il presidente del tribunale può, su istanza di parte, abbreviare  fino alla metà i termini. ","Si, in qualsiasi caso, il presidente del tribunale può d'ufficio abbreviare fino alla "
"Si distinguono tre tipi di attività amministrativa: amministrazione attiva,  amministrazione consultiva, amministrazione di  controllo. Indicare quale affermazione in merito non è corretta. ",L'amministrazione attiva comprende tutte le attività con cui la P.A. agisce per  realizzare i propri fini; non vi rientrano le attività  deliberative. ,L'amministrazione attiva comprende tutte le attività con cui la P.A. agisce per  realizzare i propri fini. ,"L'amministrazione consultiva comprende le attività dirette a fornire pareri, consigli, "
Con riferimento ai rapporti tra CSM e Ministro della giustizia è corretto affermare che  il Ministro: ,È titolare di un potere di intervento alle adunanze del CSM. ,Provvede al governo della Magistratura e adotta tutti gli atti amministrativi riguardanti  la carriera e le funzioni dei magistrati. ,Partecipa con diritto di voto alle deliberazioni del CSM. 
"Controlli: di legittimità e di merito, preventivi e successivi, interni ed esterni.  Indicare quale affermazione sui citati controlli  è corretta. ",I controlli preventivi antecedenti sugli atti amministrativi intervengono su di un atto  amministrativo non ancora perfezionato. ,"In relazione al momento in cui interviene l'atto di controllo sugli atti amministrativi,  i controlli sono di legittimità e di merito. ",I controlli sugli atti amministrativi a seconda che il controllo sia esercitato da un 
La delega (o delegazione): ,"È un meccanismo attraverso il quale un soggetto, titolare di un determinato potere,  attribuisce mediante un proprio atto, l'esercizio dello stesso potere o di una parte ad altro soggetto. ","È un atto definitivo, essendo impossibile una delega temporanea. ",Non richiede l'utilizzo della forma scritta. 
I portatori di interessi pubblici possono intervenire nel procedimento amministrativo? ,"Si, lo prevede espressamente l'art. 9 l. n. 241/1990 in quanto titolari di un interesse  ad evitare che anche indirettamente può essere  loro arrecato pregiudizio dal provvedimento. ","No, possono intervenire nel procedimento solo i destinatari diretti del provvedimento  finale. ","No, in quanto non destinatari della comunicazione obbligatoria di avviso di avvio. "
"Dal punto di vista del rapporto tra gli atti si distinguono atti composti e atti  contestuali. Negli atti composti,: ",Il vizio di una delle manifestazioni di volontà si estende all'intero atto. ,Il vizio di una delle manifestazioni di volontà non si estende all'intero atto. ,"Come negli atti contestuali, il vizio di una delle manifestazioni di volontà si estende "
A norma di quanto dispone l'art. 29 del D.Lgs. n. 104/2010 l'azione di annullamento può  essere fatta valere per eccesso di  potere? ,"Sì, può essere fatta valere per incompetenza, violazione di legge ed eccesso di potere. ","No, può essere fatta valere solo per violazione di legge. ","Sì, può essere fatta valere solo per incompetenza ed eccesso di potere. "
"Con riferimento a quanto prevede il D.Lgs. n. 165/2001, la contrattazione collettiva  può istituire procedure di impugnazione  dei provvedimenti disciplinari? ","No, salva la facoltà di disciplinare mediante i contratti collettivi procedure di  conciliazione non obbligatoria. ","Si, ma solo la contrattazione collettiva nazionale di comparto. ","No, e non può neanche prevedere procedure di conciliazione non obbligatoria. "
Cosa accade quando un giudice è incompetente ai sensi dell'art. 15 C.p.a. nell'ambito  del procedimento amministrativo? ,"Il giudice che si dichiara incompetente indica il giudice ritenuto competente e il  processo continua davanti al nuovo giudice se, nel  termine perentorio di trenta giorni dalla comunicazione di tale ordinanza, la causa è  riassunta davanti al giudice dichiarato  competente. ","Il giudice che si dichiara incompetente indica il giudice ritenuto competente e il  processo continua davanti al nuovo giudice se, nel  termine perentorio di sessanta giorni dalla comunicazione di tale ordinanza, la causa è  riassunta davanti al giudice dichiarato  competente. ",Il giudice che si dichiara incompetente indica il giudice ritenuto competente ma la causa 
"Indicare quale affermazione è conforme a quanto dispone il ""Capo III - Semplificazione  della documentazione  amministrativa Sezione V - Norme in materia di dichiarazioni sostitutive"" del D.P.R. n.  445/2000. ","Sono comprovati con dichiarazioni, anche contestuali all'istanza, sottoscritte  dall'interessato e prodotte in sostituzione delle normali  certificazioni, tra gli altri, lo stato di disoccupazione, la qualità di pensionato e la  categoria di pensione. ",Le dichiarazioni sostitutive di atto di notorietà hanno validità temporale di tre mesi. ,"Fatte salve le eccezioni espressamente previste per legge, nei rapporti con la P.A. e con "
Indicare quale affermazione è conforme a quanto dispone l'art. 33 del Codice del  processo amministrativo in merito alle  pronunce giurisdizionali e in particolare sui provvedimenti del giudice. ,"Il giudice pronuncia ordinanza quando assume misure cautelari o interlocutorie, ovvero  decide sulla competenza. B) Le ordinanze devono essere sempre pronunciate in udienza o in camera di consiglio.  C) Le sentenze di primo grado non sono esecutive.  603. Con riferimento ai ricorsi amministrativi è ammissibile proporre ricorso gerarchico  proprio per dedurre motivi di merito?  Sì, l'ammissibilità del ricorso per motivi di merito è regola generale per i ricorsi  gerarchici. ","No, l'ammissibilità del ricorso per motivi di merito è tassativamente esclusa. ","Sì, l'ammissibilità del ricorso per motivi di merito è regola generale per tutti i "
Le autorità amministrative indipendenti: ,"Sono soggetti o enti pubblici, istituiti con legge, che esercitano in prevalenza funzioni  amministrative in ambiti considerati sensibili o  di alto contenuto tecnico, tali da esigere una peculiare posizione di autonomia e di  indipendenza nei confronti del Governo, allo scopo  di garantire una maggiore imparzialità rispetto agli interessi coinvolti. ","Sono organi strumentali dello Stato, soggetti ai controlli e alle direttive del Ministro  cui fanno capo. ",Sono enti od organismi che svolgono funzioni di coordinamento in materia di 
"A norma del Testo unico sulla documentazione amministrativa, l'autenticazione delle  copie può essere fatta dal pubblico  ufficiale dal quale è stato emesso l'originale? ","Sì, può essere fatta dal pubblico ufficiale dal quale è stato emesso o presso il quale è  depositato l'originale, o al quale deve essere  prodotto il documento, nonché da un notaio, cancelliere, segretario comunale, o altro  funzionario incaricato dal Sindaco. ","Sì, può essere fatta solo dal pubblico ufficiale dal quale è stato emesso o presso il  quale è depositato l'originale, o al quale deve essere  prodotto il documento. ","No, può essere fatta solo da un notaio o da un cancelliere. "
