Question,Answer 1,Answer 2,Answer 3
Si applica la pena dell'ergastolo ex art. 576 c.p. se l'omicidio Ã¨ commesso:,"contro un agente di pubblica sicurezza, a causa dell'adempimento delle funzioni",contro il convivente quando Ã¨ adoperato un mezzo agricolo o pesante,dal latitante mentre comunica con i familiari o i complici in latitanza
Il pubblico ufficiale in tema di falsitÃ  materiale ex art. 476 c.p. soggiace alla pena della reclusione da uno a sei anni quando:,"nell'esercizio delle sue funzioni, altera un atto vero","nell'esercizio delle sue funzioni, introduce al suo superiore un atto falso","anche al di fuori delle sue funzioni, forma totalmente un atto falso"
"Il pubblico ufficiale, che, nell'esercizio delle sue funzioni, contraffÃ  o altera certificati o autorizzazioni amministrative Ã¨ punito ex art. 477 c.p.:",con la reclusione da sei mesi a tre anni,con la reclusione da un mese a sei,con la reclusione da sei a dodici anni
"Il pubblico ufficiale, che, nell'esercizio delle sue funzioni, attesta falsamente, in certificati o autorizzazioni amministrative, fatti dei quali l'atto Ã¨ destinato a provare la veritÃ , Ã¨ punito ex art. 480 c.p.:",con la reclusione da tre mesi a due anni,con il pagamento di una ammenda di 516 euro,con la reclusione da tre a otto anni
Chiunque dichiara o attesta falsamente al soggetto che presta servizi di certificazione delle firme elettroniche l'identitÃ  o lo stato o altre qualitÃ  della propria o dell'altrui persona Ã¨ punito ex art. 495-bis c.p.:,con la reclusione fino ad un anno,con il pagamento di una ammenda di 516 euro,con la reclusione fino a dieci anni
"Chiunque illecitamente detiene segni distintivi, contrassegni o documenti di identificazione in uso ai Corpi di polizia soggiace ex art. 497-ter c.p. alla pena:",della reclusione da due a cinque anni,della reclusione da quattro a dieci anni,della reclusione da due a cinque mesi
"Chiunque viola i sigilli, per disposizione della legge o per ordine dell'AutoritÃ  apposti al fine di assicurare la conservazione o la identitÃ  di una cosa, Ã¨ punito ex art. 349 c.p.:",con la reclusione da sei mesi a tre anni e con la multa da euro 103 a euro 1.032,con la reclusione da sei a undici mesi e con la multa da euro 10 a euro 516,con la reclusione da tre a nove anni  
"Chiunque contraffÃ  il sigillo dello Stato, destinato a essere apposto sugli atti del Governo, ovvero, non essendo concorso nella contraffazione, fa uso di tale sigillo da altri contraffatto Ã¨ punito ex art. 467 c.p.:",con la reclusione da tre a sei anni e con la multa da euro 103 a euro 2.065,con la reclusione da tre a sei mesi e con la multa da euro 10 a euro 1.024,con la reclusione da sei a dodici anni e con la multa da euro 516 a euro 5.021
"Chiunque, essendosi procurati i veri sigilli o i veri strumenti destinati a pubblica autenticazione o certificazione, ne fa uso a danno altrui, o a profitto di sÃ¨ o di altri, Ã¨ punito ex art. 471 c.p.:",con la reclusione fino a tre anni e con la multa fino a euro 309,con la reclusione fino a dieci anni e con la multa fino a euro 516,con la reclusione fino a tre mesi e con la multa fino a euro 103
"Chiunque introduce nel territorio dello Stato, al fine di trarne profitto, prodotti industriali con marchi o altri segni distintivi, nazionali o esteri, contraffatti o alterati Ã¨ punito ex art. 474 c.p.:",con la reclusione da uno a quattro anni e con la multa da euro 3.500 a euro 35.000,con la reclusione da uno a quattro mesi e con la multa da euro 35 a euro 350,con la reclusione da quattro a dodici anni
"Chiunque attesta falsamente al pubblico ufficiale, in un atto pubblico, fatti dei quali l'atto Ã¨ destinato a provare la veritÃ , Ã¨ punito ex art. 483 c.p.:",con la reclusione fino a due anni,con la reclusione fino a due mesi,con la reclusione fino a dieci anni
"Chiunque, essendo per legge obbligato a fare registrazioni soggette all'ispezione dell'AutoritÃ  di pubblica sicurezza, o a fare notificazioni all'AutoritÃ  stessa circa le proprie operazioni industriali, commerciali o professionali, scrive o lascia scrivere false indicazioni Ã¨ punito ex art. 484 c.p.:",con la reclusione fino a sei mesi o con la multa fino a euro 309,con la reclusione fino a dodici anni,con la multa fino a euro 3.650
Qualora due o piÃ¹ persone si accordino allo scopo di commettere un reato ex art. 115 c.p; e questo non sia commesso:,nessuna di esse Ã¨ punibile per il solo fatto dell'accordo,l'istigatore Ã¨ punibile per il solo fatto dell'accordo se risulta da atto scritto,sono entrambe punibili per il solo fatto dell'accordo
"Qualora il reato commesso sia diverso da quello voluto da taluno dei concorrenti, anche questi ne risponde, ex art. 116 c.p. se l'evento:",Ã¨ conseguenza della sua omissione,Ã¨ conseguenza della sua relazione,Ã¨ connesso ai suoi familiari
Il reato commesso in danno di piÃ¹ persone Ã¨ punibile ex art. 122 c.p.:,anche se la querela Ã¨ proposta da una soltanto di esse,anche se la querela Ã¨ proposta da una persona delegata dalle altre persone offese,soltanto se la querela Ã¨ proposta da tutte le persone offese o i loro procuratori speciali
La querela ex art. 123 c.p. si estende di diritto:,a tutti coloro che hanno commesso il reato,a coloro che hanno venduto i mezzi per il reato,agli ascendenti di coloro che hanno commesso il reato
Se la querela Ã¨ stata giÃ  proposta ex art. 126 c.p.:,la morte della persona offesa non estingue il reato,la morte della persona offesa estingue il reato,"la morte del reo, avvenuta prima della condanna, non estingue il reato"
"Quando la punibilitÃ  di un reato dipende dalla richiesta dell'AutoritÃ , ex art. 128 c.p. la richiesta non puÃ² essere piÃ¹ proposta:",decorsi tre mesi dal giorno in cui l'AutoritÃ  ha avuto notizia del fatto che costituisce il reato  ,decorse 72 ore dal momento in cui la procura della repubblica ha avuto notizia del fatto che costituisce il reato,decorsi dieci giorni dal giorno in cui l'AutoritÃ  ha avuto notizia dell'atto che verbalizza il reato
Nella determinazione dell'ammontare della multa o dell'ammenda il giudice deve tenere conto ex art. 133- bis c.p. anche:,delle condizioni economiche del reo,dell'ISEE del reo,dello stato di famiglia del reo
"Quando, per qualsiasi effetto giuridico, si deve eseguire un ragguaglio fra pene pecuniarie e pene detentive, ex art. 135 c.p. il computo ha luogo calcolando:","euro 250, o frazione di euro 250, di pena pecuniaria per un giorno di pena detentiva",euro 1500 di pena pecuniaria per ogni settimana di pena detentiva,"euro 500, o frazione di euro 500, di pena pecuniaria per tre giorni di pena detentiva"
La carcerazione sofferta prima che la sentenza sia divenuta irrevocabile si detrae ex art. 137 c.p.:,dall'ammontare della pena pecuniaria,dalla durata complessiva delle misure di sicurezza,dalla durata complessiva della misura cautelare
"Per i minori degli anni quattordici e per gli interdetti a cagione di infermitÃ  di mente, il diritto di remissione della querela ex art. 153 c.p. Ã¨ esercitato:",dal loro legale rappresentante,dal loro tutore,dal loro curatore
Se la querela Ã¨ stata proposta da piÃ¹ persone ex art. 154 c.p.:,il reato non si estingue se non interviene la remissione di tutti i querelanti,il reato si estingue se interviene la remissione della maggioranza dei querelanti,il reato si estingue se interviene la remissione anche solo di un querelante
"Nelle contravvenzioni, per le quali la legge stabilisce la sola pena dell'ammenda, il contravventore Ã¨ ammesso a pagare prima dell'apertura del dibattimento una somma corrispondente ex art. 162 c.p.:","alla terza parte del massimo della pena stabilita dalla legge per la contravvenzione commessa, oltre le spese del procedimento","alla metÃ  del minimo della pena stabilita dalla legge per la contravvenzione commessa, oltre le spese del procedimento","al doppio del massimo della pena stabilita dalla legge per la contravvenzione commessa, escluse le spese del procedimento"
Se piÃ¹ reati importano pene temporanee detentive di specie diversa ex art. 74 c.p.:,queste si applicano tutte distintamente e per intero. La pena dell'arresto Ã¨ eseguita per ultima,queste si applicano tutte complessivamente e per intero. La pena dell'arresto Ã¨ eseguita per prima,queste si applicano tutte distintamente e in misura proporzionale. La pena dell'arresto Ã¨ eseguita per prima.
"Quando un reato Ã¨ il presupposto di un altro reato, ex art. 170 c.p. la causa che lo estingue:",non si estende all'altro reato,si estende alla pena accessoria,si estende all'altro reato
La morte del reo estingue la pena ex art. 171 c.p. se:,avvenuta dopo la condanna,avvenuta durante la sentenza,Ã¨ minore di dieci anni di detenzione
"Se l'esecuzione della pena Ã¨ subordinata alla scadenza di un termine o al verificarsi di una condizione, ex art. 172 c.p. il tempo necessario per la estinzione della pena decorre:",dal giorno in cui il termine Ã¨ scaduto o la condizione si Ã¨ verificata,dalla mezzanotte in cui il termine Ã¨ spirato o la condizione Ã¨ giunta a maturazione,dal giorno in cui il termine Ã¨ partito o la condizione Ã¨ stata verbalizzata
Le pene dell'arresto e dell'ammenda si estinguono ex art. 173 c.p. nel termine:,di cinque anni,di dieci mesi,di dieci anni
"L'indulto o la grazia condona, in tutto o in parte, la pena inflitta. Inoltre, ex art. 174 c.p.:  ","non estingue le pene accessorie, salvo che il decreto disponga diversamente",non estingue le pene accessorie in nessun caso,"estingue le misure cautelari, salvo che il procuratore disponga diversamente"
"Il condannato a pena detentiva che, durante il tempo di esecuzione della pena, abbia tenuto un comportamento tale dal far ritenere sicuro il suo ravvedimento, ex art. 176 c.p. puÃ² essere ammesso alla liberazione condizionale, se ha scontato:","almeno trenta mesi e comunque almeno metÃ  della pena inflittagli, qualora il rimanente della pena non superi i cinque anni","almeno dieci anni e comunque almeno un terzo della pena inflittagli, qualora il rimanente della pena non superi i venticinque anni","almeno cinque anni e comunque almeno metÃ  della pena inflittagli, qualora il rimanente della pena non superi i quindici anni"
La concessione della liberazione condizionale Ã¨ subordinata ex art. 176 c.p. all'adempimento:,delle obbligazioni civili derivanti dal reato,delle misure cautelari derivanti dal reato,delle pene accessorie derivanti dal reato
La riabilitazione ex art. 178 c.p. estingue:,"le pene accessorie ed ogni altro effetto penale della condanna, salvo che la legge disponga altrimenti",le obbligazioni risarcitorie ed ogni altro effetto civile della condanna,"le pene alternative ed ogni altro effetto penale della condanna, salvo che il decreto disponga altrimenti"
L'obbligo alle restituzioni e alla pubblicazione della sentenza penale di condanna ex art. 187 c.p. Ã¨:,indivisibile,separabile,inalienabile
Il condannato Ã¨ obbligato ex art. 188 c.p. a rimborsare all'erario dello Stato le spese per:,il suo mantenimento negli stabilimenti di pena,la parcella del suo difensore d'ufficio,l'affissione della sentenza di condanna
I condannati per uno stesso reato sono obbligati in solido ex art. 187 c.p.:,al risarcimento del danno patrimoniale o non patrimoniale,al solo risarcimento del danno patrimoniale,al risarcimento del danno erariale o contabile
Ai sensi dell'art. 102 c.p. Ã¨ dichiarato delinquente abituale chi:,"dopo essere stato condannato alla reclusione in misura superiore complessivamente a cinque anni per tre delitti non colposi, della stessa indole, commessi entro dieci anni, e non contestualmente, riporta un'altra condanna per un delitto, non colposo, della stessa indole, e commesso entro i dieci anni successivi all'ultimo dei delitti precedenti","dopo essere stato condannato alla reclusione in misura superiore complessivamente a venti mesi per sei delitti non colposi, della stessa indole, commessi entro un anno, e non contestualmente, riporta un'altra condanna per un delitto, non colposo, della stessa indole, e commesso entro i due anni successivi all'ultimo dei delitti precedenti","dopo essere stato condannato alla reclusione in misura superiore complessivamente a cinque mesi per tre delitti non colposi, della stessa indole, commessi entro cinque anni, e non contestualmente, riporta un'altra condanna per un delitto, non colposo, della stessa indole, e commesso entro i cinque anni successivi all'ultimo dei delitti precedenti"
"Chi ha determinato a commettere un reato una persona non imputabile, ex art. 111 c.p. risponde:","del reato da questa commesso, e la pena Ã¨ aumentata","del reato da questa commesso, con la pena principale ridotta di un terzo","in concorso con il reato da questa commesso, aumentato di un quarto"
La remissione della querela ex art. 152 c.p. Ã¨ processuale o extraprocessuale. La remissione extraprocessuale Ã¨:,espressa o tacita,diretta o indiretta,verbale o scritta
"Nei casi di procedibilitÃ  a querela soggetta a remissione, il giudice ex art. 162-ter c.p. dichiara estinto il reato:  ","sentite le parti e la persona offesa, quando l'imputato ha riparato interamente, entro il termine massimo della dichiarazione di apertura del dibattimento di primo grado, il danno cagionato dal reato, mediante le restituzioni o il risarcimento, e ha eliminato, ove possibile, le conseguenze dannose o pericolose del reato","sentita esclusivamente la persona offesa, quando l'imputato ha riparato interamente, entro il termine massimo della dichiarazione di apertura del dibattimento di secondo grado, il danno cagionato dal reato, mediante le restituzioni o il risarcimento","sentite esclusivamente le parti, quando l'imputato ha riparato interamente, entro il termine massimo della sentenza di primo grado, il danno cagionato dal reato, mediante le restituzioni o il risarcimento, e ha eliminato, ove possibile, le conseguenze dannose o pericolose del reato"
Le misure di sicurezza ex art. 202 c.p. possono essere applicate:,"soltanto alle persone socialmente pericolose, che abbiano commesso un fatto preveduto dalla legge come reato","soltanto alle persone recidive, che abbiano commesso almeno due fatti preveduti dalla legge come reato","preferibilmente ai criminali abituali, che abbiano commesso un fatto preveduto dalla legge come reato di allarme sociale"
Le misure di sicurezza ex art. 205 c.p. sono ordinate:,dal giudice nella stessa sentenza di condanna o di proscioglimento,dal giudice giÃ  nella prima udienza del dibattimento,dal giudice tramite ordinanza dopo la prima udienza ove ricorrano richieste motivate dal pubblico ministero o dalla persona offesa
"Quando una persona ha commesso, anche in tempi diversi, piÃ¹ fatti per i quali siano applicabili piÃ¹ misure di sicurezza della medesima specie, ex art. 209 c.p.:","Ã¨ ordinata una sola misura di sicurezza, se non sono di specie diverse",sono decretate fino ad un massimo di cinque misure di sicurezza,sono decretate fino ad un massimo di tre misure di sicurezza
L'estinzione del reato ex art. 210 c.p.:,impedisce l'applicazione delle misure di sicurezza e ne fa cessare l'esecuzione,non impedisce l'applicazione delle misure di sicurezza,impedisce l'esecuzione delle misure di sicurezza e ne sospende la progressione
Il lavoro all'interno degli stabilimenti destinati alla esecuzione delle misure di sicurezza detentive Ã¨ remunerato ex art. 213 c.p. Dalla remunerazione Ã¨ prelevata:,una quota per il rimborso delle spese di mantenimento,una quota per il rimborso delle obbligazioni civili,una quota per il rimborso della parcella del difensore d'ufficio
Il ricovero in un riformatorio giudiziario ex art. 223 c.p. Ã¨ misura di sicurezza speciale:,"per i minori, e non puÃ² avere durata inferiore a un anno","per i minori o inabili, e non puÃ² avere durata inferiore a cinque anni","per i minori o interdetti, e non puÃ² avere durata inferiore a sette anni"
"Per quanto concerne le notificazioni degli atti, la consegna di copia dell'atto all'interessato da parte della cancelleria ha valore di notificazione ex art. 148 c.p.p. Il pubblico ufficiale addetto:",annota sull'originale dell'atto la eseguita consegna e la data in cui questa Ã¨ avvenuta,annota sull'originale dell'atto la eseguita consegna e la persona che l'ha ricevuta insieme alla sua sottoscrizione,annota sulla copia dell'atto la eseguita verifica e la data in cui si puÃ² presentare ricorso
"Se il documento sequestrato ex art. 258 c.p.p. fa parte di un volume o di un registro da cui non possa essere separato e l'autoritÃ  giudiziaria non ritiene di farne estrarre copia, l'intero volume o registro rimane in:",deposito giudiziario,deposito telematico,sequestro conservativo
"Con il provvedimento che dispone la sospensione dall'esercizio di un pubblico ufficio o servizio, il giudice ex art. 289 c.p.p.:","interdice temporaneamente all'imputato, in tutto o in parte, le attivitÃ  a essi inerenti",sospende temporaneamente all'imputato le attivitÃ  di pubblica fede,"interdice fino alla fine del processo all'imputato, in tutto o in parte, le attivitÃ  a essi inerenti"
"Quando vi Ã¨ pericolo che la libera disponibilitÃ  di una cosa pertinente al reato possa aggravare o protrarre le conseguenze di esso ovvero agevolare la commissione di altri reati, ex art. 321 c.p.p.:  ",a richiesta del pubblico ministero il giudice competente a pronunciarsi nel merito ne dispone il sequestro con decreto motivato,a richiesta del pubblico ministero il giudice competente a pronunciarsi nel merito ne dispone il sequestro con ordinanza motivata,a richiesta di parte il giudice competente a pronunciarsi nel merito ne dispone il sequestro con decreto motivato
Chi tra questi soggetti puÃ² proporre appello contro le ordinanze in materia di sequestro preventivo e contro il decreto di revoca del sequestro emesso dal pubblico ministero ex art. 322-bis c.p.p.?,il pubblico ministero,la persona offesa dal reato,il consulente tecnico
Gli ufficiali e gli agenti di polizia giudiziaria ex art. 354 c.p.p. curano che:,le tracce e le cose pertinenti al reato siano conservate e che lo stato dei luoghi e delle cose non venga mutato prima dell'intervento del pubblico ministero,le tracce e le cose pertinenti alla fuga dell'imputato siano conservate e che lo stato dei luoghi e delle cose non venga mutato prima dell'intervento del pubblico ministero o delegato della procura,gli oggetti o altri mezzi pertinenti alla commissione del reato siano conservati in appositi fascicoli o contenitori
La somma ricavata dall'esecuzione della pena pecuniaria Ã¨ versata ex art. 740 c.p.p.:,alla cassa delle ammende,per la copertura delle spese processuali,per la copertura delle spese di mantenimento dell'imputato
La devoluzione ad uno Stato estero delle cose confiscate ex art. 740-bis c.p.p. Ã¨ ordinata quando:,lo Stato estero ne ha fatto espressa richiesta,Ã¨ compresa all'interno di un Trattato multilaterale,l'Unione Europea ne ha fatto espressa richiesta
"Se Ã¨ domandata l'esecuzione di una pena restrittiva della libertÃ  personale e il condannato si trova all'estero, ex art. 745 c.p.p.:",il Ministro della giustizia ne richiede la custodia cautelare,il Ministro degli esteri ne richiede gli arresti domiciliari o la custodia cautelare,il Presidente del consiglio ne richiede la custodia cautelare
L'istanza per la richiesta di documentazione alla pubblica amministrazione ex art. 391-quater c.p.p. deve essere rivolta:,all'amministrazione che ha formato il documento,all'autoritÃ  giudiziaria,alla cancelleria del tribunale
Con l'opposizione alla richiesta di archiviazione la persona offesa dal reato chiede ex art. 410 c.p.p. la prosecuzione delle indagini preliminari indicando:,"a pena di inammissibilitÃ , l'oggetto della investigazione suppletiva e i relativi elementi di prova","a pena di rigetto, il motivo della investigazione suppletiva e i relativi presupposti di fatto e di diritto","a pena di annullabilitÃ , il soggetto della investigazione suppletiva con relativa identificazione"
"Ai sensi dell'art. 414 c.p.p. dopo il provvedimento di archiviazione, il giudice:",autorizza con decreto motivato la riapertura delle indagini su richiesta del pubblico ministero motivata dalla esigenza di nuove investigazioni,autorizza con decreto la riapertura delle indagini su richiesta del pubblico ministero o del tribunale del riesame motivata dalla presenza di nuovi e risolutivi elementi di prova,"autorizza con ordinanza la riapertura delle indagini su richiesta del pubblico ministero, parte offesa o parte civile motivata dalla esigenza di nuove investigazioni"
"Quando Ã¨ ignoto l'autore del reato entro quanto il pubblico ministero, ex art. 415 c.p.p; presenta al giudice richiesta di archiviazione ovvero di autorizzazione a proseguire le indagini?",Entro sei mesi dalla data della registrazione della notizia di reato,Entro quattro mesi dalla data della effettiva commissione del reato,Entro tre mesi dalla data della registrazione della notizia di reato
Il consenso della persona offesa all'intervento degli enti e associazioni rappresentativi di interessi lesi dal reato deve risultare:,da atto pubblico o scrittura privata autenticata.  ,solo da atto pubblico.,solo da scrittura privata autenticata.
La persona danneggiata dal reato:,puÃ² costituirsi parte civile fino a che non siano compiuti gli adempimenti per l'accertamento sulla regolare costituzione delle parti in dibattimento.,puÃ² costituirsi parte civile solo dopo l'accertamento della regolare costituzione delle parti in dibattimento.,puÃ² costituirsi parte civile subito dopo l'accertamento sulla regolare costituzione delle parti in dibattimento solo quando sia stata esclusa nel corso dell'udienza preliminare.
Qual Ã¨ la definizione della sospensione condizionale della pena?,"Ãˆ una causa di estinzione del reato, ricorrendo le condizioni previste dalla legge.",Ãˆ una sanzione sostitutiva di talune pene detentive,"Ãˆ una causa di estinzione della pena, ricorrendo le condizioni previste dalla legge."
Le circostanze previste dagli artt. 61 e 62 c.p. sono:,"elementi accidentali che incidono sulla pena, aumentandola o diminuendola.",elementi essenziali che incidono sulla natura del reato.,elementi accidentali che risultano irrilevanti rispetto alle conseguenze penali del fatto
"L'espulsione dello straniero dallo Stato, quale misura di sicurezza personale non detentiva, viene ordinata:",dal giudice.,dal prefetto.,dal questore.
Il caso fortuito Ã¨:,un accadimento eccezionale e non prevedibile.,una causa di esclusione dell'imputabilitÃ ,una causa personale di estinzione dalla pena.
"Se taluno fa uso di un atto pubblico falso, pur non essendo concorso nel reato di falso:",Ã¨ comunque punibile.,"non Ã¨ punibile, salvo che il fatto arrechi ad altri un danno.",non Ã¨ mai punibile.
"Si configura il reato di attentato alla sicurezza delle pubbliche comunicazioni laddove taluno attenti alla sicurezza delle pubbliche comunicazioni telefoniche, qualora dal fatto derivi l'interruzione parziale del funzionamento dell'impianto?","No, perchÃ© per la sussistenza del reato di attentato alla sicurezza delle pubbliche comunicazioni, occorre che dal fatto derivi pericolo alla pubblica incolumitÃ .","No, perchÃ© per la sussistenza del reato di attentato alla sicurezza delle pubbliche comunicazioni, occorre che dal fatto derivi un nocumento all'industria nazionale.","No, perchÃ© per la sussistenza del reato di attentato alla sicurezza delle pubbliche comunicazioni, occorre che dal fatto derivi la morte di alcuno."
"La pena detentiva prevista per il delitto di frode informatica, in assenza di circostanze aggravanti o attenuanti, Ã¨ della reclusione:",da 6 mesi a 3 anni.,da 1 mese a 1 anno e 6 mesi.,da 3 mesi a 2 anni.
La pena dell'arresto per i recidivi si estingue per prescrizione?,"SÃ¬, in 5 anni nei casi di recidiva semplice, in 10 anni nelle ipotesi di recidiva aggravata.","SÃ¬, sempre in 5 anni.","SÃ¬, sempre in 10 anni."
Il delitto di danneggiamento di animali altrui Ã¨ compreso:,tra i delitti contro il patrimonio.,tra i delitti contro la persona.,tra i delitti contro la pubblica amministrazione.
L'amnistia Ã¨ applicabile ai delinquenti professionali?,"No, salvo che sia diversamente disposto.","No, senza eccezioni.","SÃ¬, senza eccezioni."
Se una persona usa violenza contro il complice per impossessarsi della metÃ  del prezzo del reato in precedenza commesso a danni di terzi commette il reato di:  ,rapina.,esercizio arbitrario delle proprie ragioni.,violenza privata.
Per il reato di partecipazione a giochi d'azzardo:,la pena Ã¨ aumentata in caso di sorpresa in un pubblico esercizio.,la pena Ã¨ diminuita in caso di sorpresa in un pubblico esercizio.,la pena Ã¨ aumentata in caso di sorpresa in un circolo privato.
"All'incaricato di un pubblico servizio che, per l'esercizio delle sue funzioni, indebitamente accetta la promessa di denaro si applica:","la pena stabilita per il delitto di corruzione per l'esercizio della funzione, commesso da pubblico ufficiale, ma in misura ridotta.",la pena stabilita per il delitto di rifiuto di atti d'ufficio.,"la stessa pena stabilita per il delitto di corruzione per l'esercizio della funzione, commesso da pubblico ufficiale."
"Se il reato Ã¨ stato commesso da un minore degli anni diciotto, l'esecuzione della pena puÃ² rimanere sospesa quando il giudice pronuncia sentenza di condanna:","all'arresto o alla reclusione per un tempo non superiore a tre anni, ovvero a pena pecuniaria che, sola o congiunta alla pena detentiva e ragguagliata a questa, sia equivalente a una pena privativa della libertÃ  personale per un tempo non superiore, nel complesso, a tre anni.","alla pena dell'arresto o della reclusione per un tempo non superiore a tre anni, anche se congiunta a qualsiasi pena pecuniaria.","all'arresto per un tempo non superiore a tre anni, o alla reclusione per un tempo non superiore a due anni e sei mesi."
"Abusando della sua qualitÃ  di esercente un servizio di pubblica necessitÃ , Caio induce Tizio, dipendente comunale, a dargli indebitamente una somma di denaro. Commette il delitto di concussione?",No.,"No, perchÃ© per la configurabilitÃ  del delitto di concussione Ã¨ necessario che il soggetto indotto a dare o promettere indebitamente sia estraneo alla pubblica amministrazione.","SÃ¬, lo commette."
Il delitto di Introduzione di animali nel fondo altrui Ã¨ punibile:,"a querela della persona offesa, salve le eccezioni stabilite dalla legge.",sempre d'ufficio.,sempre a querela.
Ãˆ prevista una durata minima del ricovero in un riformatorio giudiziario del minore che sia delinquente abituale?,"SÃ¬, 3 anni.","SÃ¬, 1 anno.","No, perchÃ© i minori non possono essere dichiarati delinquenti abituali."
Ãˆ punibile il soggetto che commette un reato impossibile o un reato supposto?,"No, salvo che concorrano nel fatto gli elementi costitutivi di un reato diverso.","No, salvo che abbia agito con dolo.","No, salvo che abbia agito con colpa."
Il medico che consente l'uso del proprio nome e posizione fiscale ai fini dell'esercizio abusivo della professione da parte di un soggetto non abilitato puÃ² essere interdetto in perpetuo dalla professione?,"No, l'interdizione Ã¨ sempre temporanea.","SÃ¬, consegue di diritto alla condanna per delitti commessi con l'abuso della professione.","No, perchÃ© Ã¨ un semplice partecipe al reato commesso dalla persona non abilitata."
"Tizio e Caio fanno parte di un gruppo terroristico internazionale che sta progettando un attentato all'Europarlamento. Scoperta la loro base, viene sequestrato il materiale destinato agli attentati. Dato che non vi Ã¨ stato alcun evento lesivo, Ã¨ applicabile la fattispecie del tentativo al reato di associazione con finalitÃ  di terrorismo internazionale?","No, poichÃ© il requisito minimo per la sussistenza del tentativo Ã¨ giÃ  sufficiente per ritenere integrata l'ipotesi consumata.","No, si applica la fattispecie del tentativo all'atto di terrorismo con ordigni micidiali.","SÃ¬, perchÃ© l'azione non Ã¨ stata compiuta."
Quando si consuma il reato di vendita di sostanze alimentari non genuine come genuine?  ,Quando le sostanze alimentari vengono commercializzate.,Quando le sostanze alimentari vengono prodotte.,Quando le sostanze alimentari sono prodotte e stanno per essere messe in commercio.
L'autocalunnia Ã¨ un delitto:,contro l'attivitÃ  giudiziaria:,contro l'ordine pubblico.,contro l'autoritÃ  delle decisioni giudiziarie .
La condanna per il reato di corruzione in atti giudiziari (ex art. 319ter c.p.) comporta l'irrogazione della sanzione accessoria dell'interdizione dai pubblici uffici?,"SÃ¬, perpetua o temporanea.","SÃ¬, ma solo temporanea.","No, mai."
Quale pena viene irrogata se chi commette oltraggio a pubblico ufficiale prova la veritÃ  del fatto attribuito?,Nessuna.,La reclusione fino a due anni.,La reclusione fino a cinque anni.
Il consulente tecnico del Pubblico Ministero che accetta denaro dall'imputato per modificare il parere:,commette il reato di corruzione in atti giudiziari.,non commette alcun reato essendo cessata la sua carica.,commette il reato di truffa.
Cosa si intende per suitas?,La coscienza e volontÃ  della condotta da parte del soggetto attivo.,La condizione obiettiva di punibilitÃ .,L'esistenza della condizione di procedibilitÃ  a carico del soggetto attivo.
"Il delitto che, per errore nell'uso dei mezzi di esecuzione, cagiona offesa a una persona diversa da quella che si voleva offendere integra:",un'aberratio ictus.,un'aberratio delicti.,un delitto colposo.
"Quale, tra i seguenti, puÃ² essere definito reato abituale?",Relazione incestuosa.,Sequestro di persona a scopo di estorsione.,Rapina.
La sospensione dall'esercizio degli uffici direttivi delle persone giuridiche e delle imprese ha una durata:,minima di quindici giorni e massima di due anni.,minima di un mese e massima di un anno.,minima di tre mesi e massima di tre anni.
"Chi Ã¨ il soggetto passivo del delitto di turbativa violenta del possesso di cose immobili, previsto dall'art. 634 c.p.?",Chiunque possiede pacificamente l'immobile.,Chiunque sia proprietario del bene.,Chiunque sia possessore qualificato del bene.
L'intercettazione del flusso di comunicazioni relativo a sistemi informatici o telematici Ã¨ disciplinata:,dal codice di procedura penale.,dal codice di procedura civile.,da leggi speciali.
Quale dei seguenti non Ã¨ un procedimento speciale previsto dal libro VI del codice di procedura penale?,L'appello.,Procedimento per decreto.,Giudizio abbreviato.
"A norma del Codice di Procedura penale, le prove possono essere ammesse:",a richiesta di parte o d'ufficio.,solo a richiesta di chi vi abbia interesse.,solo d'ufficio  
L'esercizio dell'azione penale puÃ² essere sospeso o interrotto:,soltanto nei casi espressamente previsti dalla legge.,su richiesta del difensore previo parere del Pubblico Ministero.,ogni qual volta il Pubblico Ministero lo ritenga necessario.
Si ha connessione di procedimenti se una persona Ã¨ imputata di piÃ¹ reati commessi con piÃ¹ azioni od omissioni esecutive del medesimo disegno criminoso?,SÃ¬.,"No, salvo la contestualitÃ  spazio - temporale dei reati.",No.
L'osservanza delle disposizioni concernenti le condizioni di capacitÃ  del giudice Ã¨ sempre prescritta a pena di:,nullitÃ .,inutilizzabilitÃ .,inammissibilitÃ .
"Come procede, in caso di perquisizione, il Pubblico Ministero?","Chiede alla persona sottoposta alle indagini, che sia presente, se Ã¨ assistita da un difensore di fiducia.","Assegna un difensore d'ufficio alla persona presente, anche se questa Ã¨ assistita da un difensore di fiducia.","Chiede alla persona sottoposta alle indagini, che sia presente, di nominare quale difensore di fiducia il difensore proposto dall'ufficio."
"Quando Ã¨ necessario per l'immediata prosecuzione delle indagini, il Pubblico Ministero:","procede all'individuazione di persone, di cose o di quanto altro puÃ² essere oggetto di percezione sensoriale.",non puÃ² comunque procedere all'individuazione di fonti di percezione sensoriale che non siano esseri umani.,procede esclusivamente all'individuazione di persone.
"Sulla dichiarazione di astensione o ricusazione del perito, il giudice decide:",con ordinanza.,d'ufficio con sentenza.,"su istanza di parte, con sentenza."
